用户名,评论时间,IP属地,评论分数,有用数量,短评内容
少年 遊,2010-07-21 20:40:13,,5星,3759,“我看这大清要亡国啊”。
大熊猫,2010-06-27 02:32:04,,5星,3113,芸芸众生，人间百态。经典台词：我爱咱们的国呀，可是谁爱我。
#瞬间收藏家#,2009-04-06 18:13:12,,5星,1780,总想做常四爷，做来做去却还是成了王利发。
桃桃林林,2012-07-12 20:50:49,,4星,1088,“打一个学生，五毛现大洋”这也算认主归宗了。片子拍得很话剧腔，不过味道还是很好，演得也好，有滋有味。秦二爷最后那段自白，现在听着还是有些伤感。
毛毛毛读作cuì,2010-06-19 17:32:23,,5星,1646,管他什么时代，原来丑陋的现实都是一样的ps:京味十足啊，那才叫演戏!!!看演员每一个比一个精彩，配角也不例外，和现在的国产电影相比，差距显而易见!!!
萌汉垚,2022-03-24 02:15:28,,5星,1412,我觉得这部作品不朽的原因是它的立意与故事的悲剧性，但最讽刺的是，创作他的人因为文革迫害投湖自尽，比他书中的角色还要悲惨。我真的要大笑三声，流下泪来。
Kerala,2018-02-26 11:26:33,,5星,1354,我总是以为过去的人善良单纯，但是看了老舍的作品之后，发现人们还都那样，真是八仙过海，各显神通，有些人偷奸耍滑，坏事做尽，有些人善良耿直，却没有好下场，坏人坏事时时有，而好人好事也并非无，简而言之，那个社会，活着已经不容易了，一切都慢慢来吧，油嘴滑舌，鸡贼心眼的人太多
bird,2014-10-26 10:04:31,,5星,1166,以前吃不着花生米，现在能吃了，可牙嚼不动了。
Eve|Classified,2015-12-22 14:10:21,,5星,887,结尾当年看哭我。芸芸众生有你我在那里，等着一切结束。
轻河y,2022-10-08 11:30:11,山东,5星,765,老舍先生怎么也想不到，最后自己竟然成了逆产。
易思棠,2018-11-18 19:30:33,,5星,798,话剧味儿还是挺浓，《茶馆》本身剧本搁在这儿就没话说了，老舍写得好啊，金句无数。三幕，三个时代，好像时局是变了，可照旧还是民生多艰。爱国者、实业家、圆滑者、顺民……都活不成，活不好。最后一幕，笑泪相加：“那帮狗男女他们可都活得有滋有味的，可干嘛不准我吃窝窝头啊！”
内陆飞鱼,2020-04-29 10:41:55,,5星,653,打洋人的短评被删。20220310。
xīn,2013-09-11 21:59:31,,5星,554,资料馆2013.9.11.7pm 心内恻恻，看之流泪。撒完纸钱，秦二爷、常四爷相继离去，黑屋中只留一线光明，王掌柜再撒一把，摸下黑布，转入里屋，无限的凄凉绝望。京片子的热闹、诉苦的牢骚，在最后的空空里化为沉沉的哀痛。在老舍所投太平湖旁的资料馆看此片，百感千绪。
shininglove,2013-09-11 22:39:12,,4星,675,“小姑娘，别这样，黑到头儿天会亮。小姑娘，别发愁，西山的泉水向东流。苦水去，甜水来，谁也不再作奴才。”
光华映像,2022-08-18 22:44:23,,5星,448,如果中国电影一直都是如此水平，不敢说世界第一，亚洲第一绝对轻松……
每天都有坏消息,2020-12-08 01:29:18,,5星,445,打课本中看茶馆那时候就喜欢常四爷，有骨气，也看得清。“大清迟早要亡啊”，“我爱大清，我怕她完了”，“我爱这国家，可谁爱我呀”。要是最后一把火把老裕泰点了才痛快呢，反正这茶馆不管是谁的，也不是王利发的。正是因为他是王利发，所以他不可能烧了老裕泰献给那世道。三人最后的道别，真让人心酸。“人要有钱了，吃喝嫖赌抽都可以，反正别想着做好事。”这话里头得有多少心酸啊，一声叹息。
刀叢中的小詩,2015-09-18 20:47:46,,5星,422,虽然不是很喜欢老舍，但这个剧本写得还真不错。六十年一场大梦，老掌柜看尽花开花落，我看你，你看我，都是梦中人物，戏中人物，梨园中人物。只要人类社会还在，这个梦都会继续下去。
达令,2021-07-31 23:01:42,,5星,357,“我爱我们的国啊！可谁爱我呀？ ”捡到的纸钱为自己祭奠，道一句再见留个念想，都混在时代的洪流里佝偻着。
丁一,2022-06-20 18:39:30,,未评分,154,“这年头让人高兴的事一件没有，让人见笑的事天天发生。”
一拳超人傻白,2022-08-21 13:53:42,江苏,5星,204,“我爱国，可谁爱我啊”🥲
严箫玉,2014-09-05 21:09:12,,4星,331,化妆太流弊……这个本子感觉还是更适合舞台表现，戏剧和电影之间真的很难无缝接轨。。
南国之风,2022-04-23 20:17:18,,5星,168,盼哪，盼哪，只盼谁都讲理，谁也不欺侮谁！
徐一白,2021-07-07 13:30:00,,5星,173,慢慢长大工作之后，开始理解什么是知识分子永远埋在心里的热血理想对国家土地的感情，还有跟现实的矛盾，是要做坚持一辈子对得住自己内心却碌碌无为的秦二爷，还是曲意逢迎的掌柜，还是倾其所有想所有改变最后还是后悔自己的付出的四爷。可悲的是，一代一代的知识分子，这种矛盾不解伴随他们的一生，看十三邀的采访我豁达了很多，接受这种矛盾，有些人选择荒诞不羁，有些人沉迷于苦难，有些人逃避享乐，或者先迎合市场，但可悲的是，这种矛盾一直在，并不会消失
陈精病,2022-07-10 17:12:00,,5星,133,“改良改良，越改越良”冰冰凉透心凉。“有钱就是要吃喝嫖赌，胡作非为”。这世道500年+也不会变的
胤祥,2012-04-04 00:52:51,,4星,98,英若诚好赞，小丁宝好仗义。与原作相比基础改动还都不错（除了结尾）。这次看最萌的竟然是崔先生“我只会念经，不会干别的”。另外则是本片精华中的精华：“大清国要完！”
目痴古,2022-01-18 22:52:56,,5星,126,我打不过洋人，还打不过你？
随便取的,2022-10-31 12:09:55,广东,5星,112,咱还是莫谈国事。
ICE*,2022-07-12 14:48:26,,5星,105,“做了一辈子的顺民”放当下也不胜唏嘘
鹿泽柏,2021-09-11 17:36:53,,5星,110,小茶馆，大清国。从一部话剧版的电影足以窥探到整个中国发展的另一面，你说这“历史周期律”邪乎不？可不咋地，改良改良，越改越凉～现在不叫“改良”了，是加速了。
Interstellar,2024-07-21 23:16:54,云南,5星,72,中国影视行业倒退40年也没什么不好嘛。
seabisuit,2019-03-27 22:20:11,,4星,71,小舞台折射大中国，建国初期的《我这一辈子》与改革开放后的《茶馆》时间点都很微妙，老舍作品里的京味儿已经成为遗产，虽然人物都停留在旧社会，但又一个世纪之交过了好多年，我们这里本质里还是老样子。改良改凉，西山又有人要称帝，该拆该封的依旧，顺民们爱国者实干家最后都成了空撒纸钱破屋里念叨的活死人，而中国电影呢，也成功的从大年初一恶心人到清明，都是祭奠。资料馆修复版。
不贰🙈🌈,2018-02-07 20:33:50,,4星,69,“挺起腰板来，吃碗干净饭”
花落花开自有时,2020-03-04 21:50:11,,5星,102,越来越能理解，在全世界所有的文明中，为什么只有中华文明能够不断传承和绵延，因为在这块土地上生活的人们，始终都把文明存续和家国情怀摆在最高的位置。他们热爱这个国家甚过于爱自己。他们体味着这个国家的疲惫和灾难，安抚着这个国家的伤痕与寂寞，追寻着这个国家的梦想与荣耀。
太空狗,2019-03-27 21:10:36,,4星,65,每次在小西天薅10块钱老片羊毛的时候都觉得太有意思了 出门就是太平盛世的牌楼 吹着春天的风走在北京的街上 发现这里100年前有无数的生离死别和潮起潮落
逃离,2020-04-30 00:36:16,,5星,101,好是好，只希望老师别再拿它出题了，而且还必须写的跟你想的一模一样，请问你想的是人家老舍先生的本意吗？
巴喆,2014-09-20 23:03:26,,5星,99,“我爱咱们的国，可谁爱我啊？”老舍先生的名著，思想性本身足矣不朽。芸芸众生，人间百态，小茶馆即大社会，演绎人间悲剧。而本片里的各大小角色，于是之、郑榕、蓝天野、英若诚、黄宗洛、童超，甚至给镜头给特写的、叫不出名字的人，一眉一眼，入木三分，淋漓尽致，都是戏骨啊！这片子的内核放今朝好多地方套过来真是毫无违和感。9.1
曼仔,2018-09-05 22:03:05,,5星,85,太棒了吧！！！群星璀璨，于是之蓝天野郑榕黄宗洛童超都太好了吧。不过片子本身太致郁了，老舍真狠，不愧是“人民的艺术家”，最可怕的是到今天完全不过时，一样的秩序，一样的无望，一样的令人切齿的世道，无论积极应对还是消极抵抗，都是命如蝼蚁身不由己。
左胸上的吸盘,2020-12-25 20:05:07,,2星,18,看睡着了。《茶馆》有点特殊，它只属于人艺于是之那批演员，类似传说中只有梅兰芳侯宝林才能演绎的节目，是一种文化景观了，本片最大的价值，就是记录下了那批演员的表演。形式上也很接近话剧，表演有极浓重的程式化痕迹，在一个严重限定的时间空间里安排（堆砌）情节，观感上肯定不如正常的清末民初电影来的开阔、自然，也谈不上有什么电影技巧，无非几个特写镜头之类的，反而还消弭了话剧中观众可以捡自己喜欢看的趣味，总的来说除了机械保存个文化景观，本片存在的意义不大。《茶馆》创作于56年，有明显的控诉旧社会之意，这方面没什么新鲜的，无非老实人被兵痞等人欺压、卖儿卖女沦落风尘之类，这些直愣愣的卖惨戏占了大头，第一节那些清末人物的风流做派能感到设计者老舍的俏皮，可惜后面未予保持。少见的记了民国会道门一笔。尚丽娟版小丁宝不错
欢乐分裂,2015-05-08 21:46:07,,4星,33,茶馆小世界，方寸大天地，世事变幻，在某个时代里，连安稳喝杯茶的欲望都是奢侈的；结尾撒纸钱和那句“大清要亡国啊”呼应，原来什么都没变，悲哀的永远是那群人。
xxxnani,2020-08-31 10:14:57,,5星,88,改良了一辈子的王掌柜， 一脸硬气不服软的四爷， 倾其所有办实业二爷。他们的人生都同样地被那个时代主导着。小小茶馆，却是个微观地社会。从黄发垂髫到两鬓斑白 都逃不过。莫谈国事，可国事无孔不入地渗透在每个人的生活中，兴百姓苦，亡百姓苦阿。
華やかな人生,2023-10-15 19:02:16,山东,5星,47,我想表达很多东西，但全部删掉了，最终归为一句话：希望大家知道老舍先生是怎么去世的。
行人,2022-11-29 10:58:00,湖北,4星,45,这么老的电影能引起这么多，这么强烈的共鸣……还有原来好多名言都是出自这部电影的
緣慳,2022-11-08 14:58:59,广东,5星,46,老舍人生结束的方式为这一部电影画上了一个更悲惨更讽刺的句号。
口吃症候群,2022-11-08 14:50:39,美国,5星,58,那时候的化妆技术好厉害啊，演员演技也好好，每个年龄段的姿态神态都拿捏得好到位…尤其是第三个时期老年的状态，说是换演员我也会信…最后一幕王利发居中心，常四爷和秦二爷分居两侧的镜头给我印象好深刻，配上对话更显深意…好可悲“我爱我的国啊，可是谁爱我呢”。一心想实业救国，却被没收工厂划为逆产，最终发出“不要再做好人”感慨的秦二爷；心地善良正义慷慨，因说一句“大清就要亡了”就被抓去做了一年多牢，出来之后潦草一生的常四爷；一辈子点头哈腰不断改良茶馆只为活着谋求生计的王利发…虽然最初看起来三人的命运大相径庭，可到结尾来看却是相差无几，处于时代洪流中的我们，只不过是颗被裹挟着向前走的小粒子罢了…虽然感叹着当时的社会如此悲哀，但有些东西于现在也只不过是藏在了暗处罢了，并没有消失。
邢育森,2021-01-16 18:53:39,,5星,71,再见呐，王掌柜；再见，秦二爷；再见，常四爷。一叠纸钱，再也不见。无语凝咽，声声叹息。罢了。
闲敲棋子落灯花,2022-09-08 00:02:04,上海,5星,31,打不了洋人还打不了你？
喻鸣,2019-03-28 23:51:56,,4星,35,老舍不愧为人民艺术家，以小见大地以茶馆之兴衰写就半世纪风云变迁。生逢乱世的无力感揪到最后，其实太平盛世也舒坦不到哪儿去啊。语言艺术相当高超，原汁原味的词儿说出来那些人仿佛都活了，好多词儿搁当下都震聋发聩。于是之、蓝天野等卡司也是顶配，最遗憾的是再没有机会现场观摩。
大奇特(Grinch),2021-07-31 16:32:34,,4星,12,重看修复版，话剧的移植还是很明显的，电影依旧采用话剧的三幕结构，不再受舞台空间的限制，虽也有空间外的游走，但点到即止。每一幕由各种小戏剧冲突串联，有明争有暗斗。声动地描绘出三个有代表性的历史时期北京大茶馆的兴衰。进出茶馆的各色人等，犹如一个社会缩影，将民性人情、世态炎凉展现出来，勾勒出时代的变迁。人艺的老演员们真是宝，这种胡同戏和老北京话在大银幕上看也是享受的。
平坦,2021-10-11 17:53:44,,5星,35,标准三幕剧，一幕20年。老舍笔准，官，民，商，农，贱。勾勒全社会，级级压死人。老舍笔狠，生旦净末丑，轮番悲明天。许是动荡之秋，文人才有此浓厚家国情怀。笔如刀锋，剖恙曝日，期唤民智。诸位人艺老演员，颦眉之间，入木三分，将一隅茶馆的兴衰，演活成了一个常年羸弱的旧中国，风雨飘摇几近灭亡的缩影。以小见大，别有洞天。这辈子有幸，一定要买到人艺茶馆的票，亲身经历一次从喜到悲，从悲到哀的无奈。才会更珍惜如今盛世，活着真好。
Panda的影音,2015-09-21 16:59:36,,5星,48,赏心悦目，酣畅淋漓，赞叹不已，深得我意。—— 老舍先生超优秀的剧本（台词妙语连珠、诙谐风趣，实在太棒了）加上卓越的场面调度和镜头设计（原舞台剧精华+导演功力）还有演员们精湛的表演，使得整出室内戏张力十足、精彩万分……2014年本来有机会能在中国电影博物馆的大银幕看到本片，结果却不幸错过，太遗憾了！—— 2022.09.03：戴上我的新眼镜观看（重温）的第一部电影。
荔榛,2019-03-27 23:37:15,,5星,39,剧本讲究，表演也讲究：于是之甚至演出了角色的习惯性体态动作，微微后仰的站姿和有些女性化的手势，第一幕中眼睛看着秦二爷回转常四爷的话，第三幕跟康顺子告别的场景等等，都处理得极细致、精准。这次格外注意到一位前国会议员崔先生，自以为洞悉结局，所以放弃了一切行动，感觉这个形象在今天有了更多的后代。“小字辈”人的出现最让人觉得可怖。话剧改电影，比小说改电影还不容易，发生在“茶馆”外的场景到底加得有些生硬，这部电影更像是对不可复得的话剧现场留存了一份珍贵的精修影像，片尾打出字幕“原话剧导演：焦菊隐，夏淳”，特别地发挥镜头比之舞台的优势之处并不多，如今蓝天野已长成第三幕的样子，感谢这份留存。
Tangent,2020-01-14 11:02:36,,4星,28,敢做敢当的，理想主义的，韭菜顺民的，都不得善终。只有趋炎附势的，投机取巧的，为虎作伥的，二代在坟头蹦迪。解放前的官商勾结经商重利之风和80年代真像，中间所谓的终极救国之法是不是一场绕路。我爱大清，我担心它完咯。
果鲸🐳,2022-01-13 20:56:07,,5星,40,这里面尽是人世间的语言艺术，你看看这世道，守己本分的人落不到好；投机腐朽的人，混得真香，还真他妈有钱是不。
文恒谦,2022-02-02 18:37:10,,5星,32,许久不见的常四爷回来真是泪点！
稀饭,2016-08-12 00:03:57,,5星,32,"真好！细节真到位了！画外音的吆喝，碰肩礼，数来宝！演员就更没得说。王掌柜的察言观色，巧舌如簧！常四爷的耿直，松二爷的唯唯诺诺。眼神，动作都是戏。饶个定场诗：守法朝朝忧闷,强梁夜夜欢歌,损人利己骑马骡,正直公平挨饿。修桥补路瞎眼,杀人放火儿多，我到西天问我佛,佛说:我也没辙！"
津五渡,2015-01-12 15:46:51,,5星,17,“我爱我的国啊！可谁爱我呢？”老舍《茶馆》的完美影像化，演技教科书。
润物,2013-10-11 21:23:53,,5星,13,伟大的作品。1982年上映的谢添导演的经典作品，当然首先是老舍先生的不朽剧作成就了它的伟大，故事本身不用过多讨论了，茶馆中映射出的中国近代社会变迁已经成为了一个时代的重要标签，通过各个人物表现出的真实人性更是极佳地让人达到了情感上的共鸣，演员阵容也堪称全明星，向人艺的老艺术家们致敬。
了不起的魚小姐,2022-03-26 12:01:12,,5星,18,一间茶馆所有人都是活的，杀人放火金腰带，修桥补路无尸骸。老掌柜那代人真是经历了时代的动荡大起大伏，时代的一粒灰尘落在一个人头上，那就是一座翻不过去的山啊！真是兴，百姓苦，亡，百姓苦！
Jane,2022-04-30 23:37:57,,5星,20,闺蜜组团去看了人艺为建院七十周年复排的雷雨（并且实在爱不起来）之后，想起片段越来越常被提起但始终没完整看过的茶馆来，终究还是老舍啊。能留下这一版电影真是太好了。上海渡劫的这一个月里，看完这个心里也是很难受的，始终压着没处可放。你要怎么和这时代相处？有机会活明白吗？
余小岛,2014-09-18 14:22:37,,5星,12,一群老演员们演技简直太棒了，台词也让人印象深刻。海报做的格外牛逼。
sosovipp,2022-02-13 22:43:06,,5星,11,最后算是把民不聊生刻画得入木三分了。
Mumu,2019-03-28 09:22:46,,5星,8,总算大银幕刷电影版，掌柜太太迷人了，不得不说甩了老伙计们一半条胡同吧……
波吕许尼亚,2017-11-09 03:38:35,,4星,15,有一些好演员，比如英若诚，林连昆等。对原著的理解在若干处有偏差。原著的表现方式是“现象学”的，只展示发生在茶馆中的事，而电影则演了一些茶馆外的东西，破坏了原著的美感和挖空心思用茶馆来表现背后的社会背景的做法。
💨,2024-03-08 15:32:45,福建,5星,11,您改告诉他，有钱就该吃喝嫖赌，胡作非为，不要做好人。
汪金卫,2018-09-06 10:01:43,,4星,11,【中国电影资料馆展映】在已消失的西直门、德胜门、北太平湖旁看这部老舍话剧改编电影，实在很感慨。北京人艺老戏骨们的精湛演技是本片最大的亮点。于是之演出了《我这一辈子》里石挥的感觉。剧本倘若再续写20年，就正好是文革最凶猛的的时候了。三星半。“我爱大清国，我怕他完！”“死马不能再活，活马可早晚得死！”“万一我下半天就死了呢？”
约尔·布莱尔,2022-11-29 11:12:18,江苏,5星,10,27号苏艺2K重映打卡，看完伴着全场的掌声，发出一声叹息……
赱馬觀♣,2022-04-30 10:52:45,,5星,1,嗯
刘小黛,2009-09-29 18:35:29,,4星,115,当代文学课上观 片中某女说自己年龄是17 全场笑扑 “死马当活马医，那是妄想，死马不能再活，活马他早晚的死！”
连城易脆,2022-08-15 17:55:08,,5星,12,今年正逢人艺70周年，饰演想要实业救国秦二爷的蓝天野也在前不久去世。同时这部电影也在今年登上豆瓣TOP250的榜单，并且以迅速之姿已经跃升到182名了，不得不慨叹老舍的剧本实在是太好了。谢添所改编的话剧电影也自然是经典中的经典，太多的名场面，太多的经典台词，三幕群像戏仅仅只用了茶馆如此小小的空间，就把几十年中国近代史的风云变幻包罗了进来，确实是相当厉害！莫谈国是的片段也成了不少影迷群常用的表情包，大清国药丸、打不得洋人、活马早晚得死等也是非常好用的金句。电影也已经40年了，可片中太多的片段依然适用，既体现了作品的可贵之处，也显得极为讽刺呀。CGS巨幕厅看着还是很满足的，只是这次没有字幕，少部分台词确实没听清楚，不过影响不大。最可惜的其实还是这样的电影短期内已经不能拍了，唉。
老古董儿,2022-01-03 14:08:43,,5星,11,一切都变了，一切又都没变
