用户名,评论时间,IP属地,评论分数,有用数量,短评内容
判官,2024-07-06 17:05:02,北京,4星,844,一句话形容：有情人终成兄妹，太好磕了，让我都有负罪感了。其实东方神话里的兄妹好像都这样，什么伏羲女娲、杨戬杨婵…咱中国人自古以来爱骨科是真的。另外这部其实算近几年神话新编作品里创新性最足的，王母是神界老大，织女跳出恋爱脑，是一个真正的神明，跟牛郎自由恋爱，一切问题的根源是老男人小心眼嫉妒心大破防。这点上要甩其他“大男主”十条街哦～
亵渎电影,2024-07-12 11:33:00,河北,3星,378,一开始不太适应这个画风，被丑到了，后来逐渐接受了这个审丑风格。作为国产动画，剧本还是有问题，细节和逻辑都有经不起推敲的地方，好在都不是大问题，整体上的类型片套路还是可以的，主题虽然还是国漫老一套，但是有效。男二的神仙角色可以对应魔童哪吒里的敖丙，但这个角色到了第三幕直接写废了，没有再给男主的塑造增加一个维度。土地公和拿了小黄人大数据的小兔子，也写了一笔就没了。男主和妹妹在拿了母亲的金梭之后，武力值直接开挂，开挂这类强设定，默认就行。男主来人间抓星宿拿到好莱坞就够拍一部了，后面身陷阴谋，发现关于母亲的真相，拯救天下沧桑，都可以另一部了。想学好莱坞的套路，可以多让角色向内探索，不管是打坏蛋，还是拯救世界，最终都是在解决自身的问题，国产动画经常把重点搞反，总想着塑造天选之子拯救天下苍生。
sleepy Mia,2024-07-11 19:51:27,广东,5星,1236,天崩地裂是因为老男人的权欲，织女的金梭是缝合天地的针，她不是恋爱脑，他也不是猥琐男，这世界观弥补了全部建模不够好之类的缺陷，而且男女主之间的互动刻画得非常清新大赞！
桃桃林林,2024-07-06 19:47:42,北京,3星,411,普普通通吧，整体亮点不多，而且，太长了。当年的短片作为毕设确实值得鼓励，因为那是毕设，不是有大投资的院线动画片，能做到那个程度，确实很厉害。但，成为长片之后，评判的标准也就不一样了，其实相比毕设，制作亮点并没有提升太多，只是看出来钱多了。而作为长片，剧作方面的短板，反而暴露出来了。
徐若风,2024-07-06 17:01:53,北京,4星,868,看前以为啥也不是，结果完完全全超预期。对世界观、剧本流畅度的打磨，尤其结局情感的释放，不比追光、彩条屋差，非常动人。以28星宿、丝线刺绣为基石，分别解构了东方文化下的天道命数与家庭情感，又始终保持其游戏趣味性——中国人有自己的星座、自己的“神奇星宿在哪里”。后半段有个细节很戳人，幽冥里织女金梭修复后的神力让金风、小凡重生，表面看似讲血脉，但本质是由金风驱动金线的信念所实现，他们是主动选择成为彼此的家人。
等风来,2024-07-07 21:29:19,天津,5星,589,落凡尘绝对是暑期档一匹黑马，太适合大朋友带着小朋友看，看了点映真是中式视觉美学盛宴，电影基于牛郎织女民间传说改编，第一次把中国二十八星宿搬上荧幕，融入中国神话、传统布艺等国风元素，还有重庆火锅、奶茶等现代元素，五十多个工作室多年的呕心制作，果然沉淀才能创作好的作品。开场南天门擒获星宿科技感满满，星辰殿是神界众神议事之场所。紫微（福）、文昌（禄）、南极（寿）、和合（家庭）、桃花（姻缘）、灵毕（战神）六位神君位列神殿中央，其余诸神将分列两旁，凡间通道由土地、鼠官守护，织女照看天幕掌管星宿，拥有法器星轴、金梭，仙徒修行可成神将。金风针线当做武器太酷了，针线织成一家团聚的场景很感人，最后金风拿着妈妈的法器，保护了妹妹，也保护了众生，金风的离开也是电影的升华，大爱无疆。
栗躺鱼,2024-07-12 18:29:03,宁夏,4星,760,中国神话有自己的蜘蛛侠
朝阳区妻夫木聪,2024-07-12 09:50:20,北京,4星,557,对同名短片无感，但是这个长片比预想的好。国漫一贯的剧本孱弱的问题，我觉得在这个片子里有不错的改善。首先，对于牛郎织女的全新诠释，但是落脚点不完全局限在情爱上，而是上升到“回家”以及“拯救苍生”的主题上，格局打开了。其次，天界的隐喻妥妥就是人间职场啊，甚至是整个体制的缩影，比你出身更“根正苗红”但会出来抢功的同事，试图夺权篡位但是给你画饼的领导，以及躲在幕后面就是不干活的老板们，完了主角本身就是个爹妈被诬陷的天选打工人，过五关斩六将收服宝可梦，最后还要被PUA，实惨，狠狠共情了。其实师傅这个角色也挺值得深挖的，他看不惯德不配位的天界现实，试图改革，但选择了以牺牲他人的幸福作为代价的极端之路，这也是个悲情角色。整体对于传统文化符号的运用也不生硬，就是感觉人物建模有点塑料了。三星半鼓励，期待续集。
🌻,2024-07-19 17:11:20,湖南,4星,395,那么多神仙都干嘛去了，居然让两个孩子补天！
我对你的无语简直能沉默整个宇宙,2024-07-14 15:00:33,上海,4星,303,东亚人痴迷“我要我要找我妈妈”和“只要我成功上岸我的人生就会从此不同”的一生。幸好最后是00后整顿职场。织女的主体性大大大大加分！
