用户名,评论时间,IP属地,评论分数,有用数量,短评内容
时小遇,2024-06-14 11:35:48,上海,5星,4273,人生有时候就是因为第一个观众，才坚持下去的。
说好早睡的呢,2024-10-26 17:50:01,重庆,3星,1569,谁允许你们在电影院给我放ppt看的？
mibo lost,2024-06-21 09:09:13,上海,4星,3670,#31 美术生找不到工作那里有位观众怒斥：有什么好笑的）
sdebut,2024-10-12 22:49:52,荷兰,4星,2642,没看过原作也能看出来是基本忠实的改编，无功无过。散场被一对很nice的荷兰老夫妇叫住问怎么理解这个电影是不是在告诉观众不要太嫉妒他人，我内心震惊之余也感叹自我主体性爆棚的西方人是不是真的无法理解日漫里人和人之间无上限的羁绊。
小瓶子不装水,2024-06-14 11:29:00,上海,4星,1319,那些时光，像一团旧烟火，回忆牵我。
Peko,2024-06-15 20:01:04,上海,5星,3053,所有求学者望见那厚厚的草稿本；所有求爱者望见这牵手的逛街路；所有求认同者望见那写着你名字的旧衣服。
muda一动不动,2024-06-14 11:43:34,江苏,5星,2179,电锯人动画有这个还原度我做梦都笑醒。
(ツ),2024-10-17 04:28:13,美国,3星,749,感受是看不到互助的力量，只有一方很单薄的崇拜，以及一方从头到尾的自恋和掌控幻想。可能我不在这部片子的受众群体内。
Amherst,2024-08-10 21:53:44,广东,4星,1068,事实证明将呈现出电影特质的漫画，再放回电影媒介中进行演绎，反而不是那么惊艳了。尤其本该最为感动的雨中乱舞那段，画面似乎并没能调动我的情绪……不过能够看到深深触动我多次的作品在大荧幕上还是非常欣慰………那对绘画的永不停歇的追逐，想要画的更好的心愿，自我表达被人注视着的振奋感，超越了生死，在所有热爱创作的人群中形成了共振……这就是这个短且简单的故事能引发热潮的原因。
蒎,2024-06-18 01:28:37,上海,5星,1814,在任何的选择里，我们都会因为热爱而相遇
棕眼,2024-10-26 22:52:18,海南,4星,650,这种浅显的内容真不合适最后留个15分钟采访，直接结束我还能回味一下，画风倒是挺喜欢的。
桃桃林林,2024-06-14 11:55:35,上海,4星,548,没看过原漫画不好比较，但仅从这个短片来说，可看度还是不错的，青春的回忆、少女的羁绊、为了梦想的努力，以及丝丝缕缕的情感……藤本树写故事的能力还是很强的，即便只是一个青春回忆的故事，还是套进去了很多不同的东西，包括那些超现实的元素，结构上面花样，也让整部短片变得更有趣了。而从剧情上，也算是他自己的一次自我剖白吧。看到现场很多人都看哭了，确实有些让人感动，或者说激动的段落，挺好的。
跳水海岛_,2024-10-26 16:38:27,广东,4星,221,1、这不是关于自恋的故事，这是一个创作者的反省和致敬，以及向一桩惨案凶手的飞踢复仇；2、押山清高正好很像真人版京本，画技强，不会讲故事，又爱碎碎念；3、中村遥满分贡献；4、我没哭出来，很遗憾。
神仙鱼,2024-06-17 18:29:39,上海,4星,254,四格漫画的结构，真挚细腻的情感。纸条一进一出间催人泪下。电影节看这种需要沉浸感受的电影分分钟被起伏不断层出不穷的各种干扰气死，为之不值。｜院线重看一个人包场，眼泪止不住。近来看了不少这类会产生“愿每一个xx都能遇到自己的xx”式感慨的日影/剧，日本人太会用“命中注定”来解救“孤独患者”了，尽管不那么现实，但确实获得慰藉。
五角星糖,2024-06-15 20:34:07,上海,3星,864,原作漫画是看一遍哭一遍的神作，没一丝赘笔，用几个背影定格就能串联起四季，串联起人生，表现出对一件事物持之以恒的专注和深刻的热爱。动画的改编太保守了，虽然填充了更多生活细节，让人物动态起来，押山清高也很爆肝，但仅不到一小时的片长里，叙事节奏和情绪感染力还是没能达到原作高度，没有太多能归功于动画化的优点
