用户名,评论时间,IP属地,评论分数,有用数量,短评内容
粟熙,2008-11-21 12:41:29,,4星,5221,赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼
bayer04,2008-08-29 22:07:30,,5星,19811,诺兰接手后蝙蝠侠和其它漫画英雄片完全不是一个等级了
根,2017-08-28 22:47:39,,4星,3673,一直在搜索“为什么还有人想住在哥谭市”
飞刀员外,2009-07-07 23:07:40,,3星,797,没感觉出彩在哪……
Lan~die,2008-09-05 00:00:06,,5星,11180,蝙蝠侠、双面人和小丑这三个形象把人在善恶两面的矛盾及选择映射得淋漓尽致，于是成就了史上最佳漫画和英雄电影。时光网：“诺兰让关于艺术片和商业片的讨论变得毫无价值。《黑暗骑士》不但拍出了古典悲剧的感觉，还探讨了恐怖主义、越界权力等美国当代的热点话题。最关键的是，电影好看得无懈可击。”
fishlee,2009-07-28 10:21:42,,5星,7969,大片中很有内涵的一部，不管是人们心中暗自涌动的对小丑疯狂灭世主义的不安的共鸣，还是对蝙蝠侠孤独暗夜行走的英雄惜英雄般同情，其实都是人们对这个世界失望的一种情绪释放。其实小丑说的很对，他和蝙蝠侠很像，都是异类，只不过蝙蝠侠把痛苦留给自己，顽固地去坚守一丝信仰，而小丑把痛苦还给世界。
丁一,2019-09-11 09:52:37,,3星,146,看短评区，好像进了个夸夸群~
evonne||芝士命,2009-05-16 11:12:11,,5星,6948,好到一秒钟都不曾浪费
五色全味,2008-12-02 00:05:09,,4星,3407,诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题
苏仁,2012-05-08 19:36:09,,4星,645,剧情很诱人，总体很赞。不过，坏人的形象太完美而不真实，在智商情商上都是超一流，远胜主角。漏洞太多，哪有那么快就能搞到详尽的内幕信息？哪有说请了一帮小匪徒却跟受过严格训练的军人一样恪尽职守按时按点执行计划没有分毫不到位的？要搬运大量的汽油桶这种事怎么能在不引起官方注意的情况下实现？
伍德与夏洛蒂,2011-02-27 00:31:25,,4星,642,本来想给5星，但看的我累死了，4星，三颗都给希斯莱杰，剩下一星给累的半死的诺兰
圆首的秘书,2016-08-25 11:20:25,,4星,318,整部片子因为希斯·莱杰的死而高度过誉，而且真心没觉得希斯·莱杰的表演有多好。小丑这个角色本身并没有什么发挥余地，作为一个反派心理还是太单薄了些，什么表演也撑不起来。编剧其实比较大条，关于善恶的讨论还到不了哲学层次，关于行善行恶的手段、转化、对比，比这个好的一箩筐。
云倾,2008-09-10 11:56:30,,5星,6164,小丑把该说的不该说的都说了 蝙蝠侠把该做的不该做的都做了 生命在于抉择 英雄的时代已经逝去了
穆玉修,2008-10-17 18:46:13,,5星,5960,Christopher Nolan太厉害了，好莱坞漫画类型片居然能拍到这样的高度...
亚比煞,2012-08-31 22:06:22,,4星,395,希斯莱杰真是戏疯子。
小M,2008-09-29 21:32:44,,5星,5675,光明与黑暗是同一个人的两张脸
Jin,2008-09-15 12:48:37,,5星,4098,对于这么优秀的电影来说，再多的赞美都是多余的。
奇爱小姐,2008-08-17 23:01:37,,2星,1100,整部片子，逻辑混乱，剪辑无序，故事情节夸张。看完我只记得那个犯人把炸弹控制器扔入船外那一个片断。
胤祥,2012-07-22 21:17:00,,4星,139,这片儿不提最佳影片合情合理啊！Maggie Gyllenhaal不适合这个角色。小丑的戏还算不错。可是木有心理剪辑还能叫诺兰么？吐槽中国到这个程度，无怪不能引进。
影志,2008-12-14 15:32:12,,5星,2675,“有些人并不喜欢那些常人偏爱的东西，比如金钱，他们不被收买、不会被恐吓、不可理喻、更不接受谈判，有些人就想看人间地狱。” 也只有蝙蝠侠，才能让小丑变得完整。无尽的黑暗。
荔枝超人,2008-11-29 16:36:15,,5星,2403,Batman是最不漫画的漫画英雄，也正因为这一点，使之最有可能成为跨越犯罪剧情片和漫画英雄片界限的特例。而这一次，编导精准的抓到了这一点，把这部电影打造得丰富严谨又酷劲十足，无论是满足视听还是人性复杂层面的挖掘上都做到了堪称完美！
M,2008-09-23 11:11:54,,5星,1978,绝对是杰作，大陆上不了院线在广电的耻辱柱上划了浓墨重彩的一笔～
沉歌,2014-06-10 14:32:04,,4星,171,即使这是我最讨厌的电影类型，也必须赞叹一句导演技法的纯熟，完成度之高。这已经不是普通的超级英雄电影了。
陀螺凡达可,2011-12-28 05:13:50,,5星,1992,从此无人再敢挑战漫画英雄电影的巅峰，包括诺兰本人
illusion不忘记,2008-09-10 15:35:09,,5星,2109,当之无愧最出色的商业电影！
朝暮雪,2012-08-18 00:59:42,,5星,1348,在哥谭市的暗夜穹顶之下，总有一袭黑色披风在血色月光中翻涌。当流言如毒藤般缠绕正义的脊梁，当阴谋化作铅云笼罩道德的天平，这个孤独的骑士依然用染血的指节紧攥着永不熄灭的信念火种。世人将镣铐般的道德枷锁套在他伤痕累累的脖颈，却看不见他折断的肋骨下跳动着怎样炽热的赤子之心。从放下权杖到重披战甲，从寄望他人到孤身赴战，这段淬炼之路让布鲁斯·韦恩完成了从殉道者到救赎者的涅槃。诺兰的镜头语言撕开超级英雄的华丽外衣，让我们看见在钛合金装甲之下，那个永远在人性天平上挣扎的、流淌着滚烫鲜血的灵魂。当最后一片硝烟散去，世人终将明白：哥谭需要的不是完美无瑕的圣人，而是那个甘愿堕入黑暗却始终仰望星空的守夜人。他用伤痕累累的身躯编织成网，接住这个不断下坠的世界——这或许就是当代神话最震撼的注脚。
浮生若梦,2009-01-27 22:23:16,,5星,642,08年最好的一部片子。
眠去,2008-11-15 16:42:13,,5星,438,惊见越狱FBI。。。诺兰我爱你！莱杰我爱你！小丑我更爱你！！！
文泽尔,2012-08-28 14:49:40,,5星,399,补记：都说三部里面第二部最佳 细想确实如此 毕竟忍者大师和贝恩都有人间羁绊 固定指向的动机 是不可能与小丑那种纯粹的恶相提并论的 另一方面 一三两部的反派在肉搏武功上 同出一门 各较长短 而小丑则完全是凭着超群智力和疯狂 将蝙蝠压制得服服帖帖 黑化一人残杀一人 最终令蝙蝠自我放逐八年 难超越
小肚子✨,2008-11-16 22:34:49,,3星,162,哪有那么好看啊
LORENZO 洛伦佐,2010-05-04 05:58:45,,3星,100,我觉得没那么好看
zero,2009-08-13 13:40:59,,5星,465,这是蝙蝠侠电影系列中的巅峰之作，无与伦比。无可否认，无论是希斯莱杰的重低音假声“Why so serious？！”还是克里斯蒂安诺兰的“Why you want to kill me！”，每个演员的表现都很到位。黑暗，矛盾，残忍，混乱，人性的阴暗面。。。我们每个人都是小丑。。。
同志亦凡人中文站,2020-08-01 13:14:45,,5星,206,以后还会看很多诺兰电影，但这是第一次也是最后一次在IMAX银幕上看到希斯·莱杰。罪恶从未如此华丽。
叶扬 | 独眼,2009-02-08 17:44:01,,3星,143,对情感的描写太泛泛，而动作镜头也没有那么精彩。小丑确实是其中演得最好的了。
巽,2008-12-11 00:13:51,,2星,607,我明白为什么会一而再再而三的看睡着而不喜欢这个系列了：丫一边想要玩阴暗绝望一边又把态度端着，唧唧歪歪整个一事儿妈~
Vamei,2012-11-25 16:11:23,,4星,81,韦恩如何能在这个世界的疯狂中保持一颗蝙蝠侠的心呢？这对于我来说是个未解之谜。地区检查官尽管不幸，但和韦恩比差远了。可不可以把韦恩也理解为小丑那样的偏执狂呢？
bamboo,2017-01-01 12:14:13,,5星,330,甩普通英雄片一个宇宙
流浪达摩,2009-05-23 23:48:46,,5星,452,每隔十年都会出一部票房口碑双丰收的大作。十年前的《泰坦尼克》，08年的《黑暗骑士》。
