用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Kaito,2024-12-21 16:29:34,浙江,4星,924,有很多甄子丹个人向的表达，比如由一人打一百个到一人打十个对自己的致敬调侃，也会借角色说出自己年纪大了，不能永远冲在前面打头阵，所以需要你们这些年轻人顶上来，而被说的对象就是现在人气攀升的张天赋，戏里戏外呼应上了。甄子丹依旧能打，拳拳到肉又不失实战性，让人耳目一新。特别要提一嘴的是，这次父亲也来客串助阵了，电影里那个坐在轮椅上的老人，就是甄子丹的父亲甄云龙。
嘟嘟熊之父,2024-12-21 16:16:04,北京,4星,541,很动人。追捕/反追杀、定罪/翻案、平等/效率的身份困惑裹挟着每一个人，而在那些具体的政务工作场景中——冒死偷拍证据的检察官感叹“还好有运气”、年轻的警员恨自己“找不到证据”、向蒙受冤屈的人真诚道歉重新获取信任、摊开事实怒骂长官以弥合政见的分歧——故事从“我”逐渐变成“我们”。相信公义与建制、相信人性善良的底色、相信并肩作战足以撼动一切，尾声甄子丹满脸的伤痕与头顶的假发代表着导演最朴素的希望——与弱者同在，并带领弱者前进。
小高个儿,2024-12-21 23:00:30,安徽,3星,1226,随便吧
壹安²,2024-12-21 15:47:57,北京,4星,640,律政刑法版叶问，真是文武双拳。甄子丹演什么乔峰张三丰，继续握紧银幕MMA格斗系宗师的拳头吧！
红酒与谋杀,2024-12-19 17:21:30,湖北,1星,144,大银幕粤语版。子丹用台词直接说出了自己的心声，年龄大了，打不动了，以后要靠你们后辈来打头阵了。文戏差到可怕，动作场面少得可怜，动作设计也了无新意（果然还是不能带着对《导火线》或《怒火》动作戏的期待去看哎
夜半撞车,2024-12-27 22:23:00,上海,3星,840,盛情邀请甄子丹来上海9号线的早高峰打一场。
一條魚佔滿了河,2024-12-09 21:30:08,北京,2星,194,《毒舌大狀》被評價內核是武俠，是電影以唇舌為刀槍劍戟，你一言我一語之間體現俠義精神，而不是觀眾真的想看本該是拿起法律武器的人真的拿起武器打打殺殺。明明單看每一場打戲，動作設計都非常出色，尤其第一場的第一視角，遊戲臨場感十足，但是偏偏和文戲就是格格不入，情緒一直在割裂，像是將《毒舌大狀》和《導火線》硬剪成一部電影。如果說《毒舌大狀》是從小切口牽扯出新視角，用手術刀切開社會問題，劍指階級差距與法治漏洞，但是《誤判》則是大龍鳳老調重彈，看似犀利實則諂媚，反派依舊是面目刻板的罪犯。甄子丹除了和劉江的兩場戲，全程不是在扮Chok就是在過火，張天賦在《我談的那場戀愛》洗掉的油又回來了，小動作太多太浮誇了，所有演員中只有許冠文、鄭則仕、劉江、馮皓揚的表演可以收貨。
龙叔,2024-12-21 16:24:34,湖南,4星,593,一部很有现实价值的电影。精英分子大法官的一瓶红酒几万块，一杯红酒就是几千，一瓶酒就是一个贫困家庭一整年的收入。被陷害的人想请律师辩护，然而只是跟律师聊几句都要几千，最底层的普通人请不起律师，只能找免费的法律援助，结果被对方律师设局陷害坐牢……电影里处处揭露着现实生活里的不公和纸醉金迷，贫穷的人被践踏，富贵的人肆意妄为，视法律为游戏。然而黑暗中总还有人在坚持正义。整部电影，除了法庭辩护的文戏部分，停车场，酒店顶楼，地铁里的几场打戏也很精彩，甄子丹的打戏动作凌厉，拳拳到肉，仿佛每一拳都打在黑暗与不公之上。
李濛Lemon,2024-12-21 16:15:26,四川,4星,605,一部“文武双全”的电影。打戏精彩，最后的地铁之战紧迫感十足。但相比拳头锤打骨头的声音，法庭上叩问正义的回响更加打动我。犯事者想减刑，司法者想下班，更大的Boss在后面拿捏人性，亵玩法律，一次次逃过制裁。当法律无法代表正义时，就需要一个“刺头”、一颗良心，掘地三尺找出真相。霍子豪就代表了司法者的那颗良心，守住法律的最后一道门，将法律与正义的天平拨正。
子戈,2024-12-29 10:21:59,北京,2星,48,简单讲，就是功夫版《第二十条》，两者都由最高检影视中心出品，背后的宣传立意，可见一斑。它们其实都在某种程度上肯定“人治”，否定“程序”，更基本无视法庭的控辩过程，把辩护律师完全当sb，这是让我没法忍受的。更何况这部电影还改编自真实事件，原案中，真正陷被告于万劫不复的恰恰是检察官，而帮其洗脱冤屈的是上诉的辩护律师，是正当的法庭程序。所以整部影片，可以说相当讽刺。武打设计确有亮眼之处，但如果只是用来证明甄子丹是比雷佳音更牛的检察官，不仅法庭上主持公道，庭外也能除暴安良，那所有打戏，在我这儿，全是负分。
