用户名,评论时间,IP属地,评论分数,有用数量,短评内容
李霁琛,2024-04-19 20:36:56,北京,5星,4313,日式生活流里的四川伍迪艾伦。
燃烧的芋泥麻薯,2024-06-08 11:56:21,湖北,5星,2844,让我们一起祝贺江美玲女士获得最佳新人演员奖！
不良生,2024-06-08 20:04:05,江苏,4星,12463,没拍完的纪录片，没送出去的音乐会门票，没修好的手表，没吃完的绿豆汤方冰棍，没来得及买的按摩椅，没完成的梦想，没说出口的话。有些故事没有讲完那就算了吧，车已经开啦，人生不是每段关系都来得及好好告别。
朝暮雪,2024-07-10 22:45:17,四川,4星,4933,他想当编剧，说观众认可他的点子，然而当冯柳柳提出他自己拍的时候，他的第一反应是这不现实。他想送母亲一台按摩椅，一直等按摩椅降价，终于等到打五折了，母亲已经走了。他想请冯柳柳去看音乐会，他明明看到对方正在输入，说不定冯柳柳也想约他，最终他还是没有把微信发出去。后来他看到冯柳柳再婚的时候，他会不会想：如果当时我点了发送，结果会不会不一样？最反对他拍电影的父亲，最后帮他完成了电影。好不容易把电影拍出来了，还是吴双帮他投给电影节的。母亲不仅弥补遗憾做了女主角，还和偶像合作，还在电影中跳了舞。所有人都会死，在实现梦想的过程中死去，可以说是此生无憾了。把电影投给电影节不一定会拿奖，发了微信也不一定有回音，但你总要试试。人生是走走停停，吴迪的问题是想得太多，做得太少，停得太多，走得太少。
影志,2024-04-19 20:27:29,北京,5星,3119,“人不应该为了生活毁掉生活的意义” 观感媲美《爱情神话》和《又见奈良》的2024华语佳作。体会老妈以前喜欢做的事情，特别是按摩椅那段实在没绷住…离开的时候，远不如回忆更悲伤。结尾堵车的走走停停，把整部电影的画面在脑海里又闪回了一遍，所有过往的美好辛酸，都指引着我们继续向前。“生活就是这样，没有那么好，也没那么糟糕，习惯了就好”
黑狗成,2024-04-19 22:16:21,北京,4星,4627,导演的收尾能力，内地新导演头部水平。
蟹多兰,2024-06-08 21:44:21,四川,3星,3049,3.5这部电影如果在爸爸补拍那里结束的话绝对可以算是年度最佳！不过“三年后”的部份真是拖后腿…柳柳的车和吴迪的车走走停停、吴迪最后敲击键盘开始编写走走停停的剧本…天呐‼️什么年代了还有这么老土的点题方式？！
馆馆,2024-06-08 20:47:57,江苏,4星,3913,是我能get的幽默感，就像妈妈说“他这辈子看起来就不是很成功，但我们都很怀念这个人”，这部电影看起来不是多牛逼，但我很喜欢，那段堵车有lalaland的感觉了最后，恭喜江美玲女士获奖！得偿所愿🎉（豆瓣能不能把角色名字写上啊，她不是无名无姓的吴迪妈妈，她叫江美玲，长江的江，美丽的美，王字旁的玲，尊重一下电影好吧）
落叶,2024-04-19 23:27:35,北京,3星,1860,后面有点太泄气了。
20个小明≯,2024-04-19 20:30:29,北京,4星,4372,大大超出预期，拍出了国产片难得的治愈感又不会过于浓鸡汤……
