用户名,评论时间,IP属地,评论分数,有用数量,短评内容
宝塔糖,2011-07-09 02:37:35,,5星,12873,有钱才能保护喜欢的人
文泽尔,2007-10-12 07:32:32,,5星,3965,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大
2013,2006-09-11 17:44:34,,4星,8009,印象很深刻的是黑白画面中的红色。
西梨,2008-06-29 23:14:08,,5星,4627,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。
Ying,2015-02-15 22:31:59,,5星,3494,“你从来不喝醉，那是绝佳的自制力。自制力就是权力。” “权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”
朝暮雪,2012-08-07 15:42:09,,5星,2585,连姆·尼森后来又演了《通勤营救》《空中营救》《飓风营救》，成为营救专业户。幸亏《辛德拉的名单》当年没引进，不然可能会被翻译成《辛德勒营救》。
老鸡｜扶立,2008-01-10 16:18:52,,3星,3850,导演很清楚观众会喜欢什么，而这正是我不喜欢的地方
珍妮的肖像🦤,2006-11-13 08:39:25,,5星,3548,不仅仅是犹太人，而是整个人类的悲剧。
veronique,2006-06-15 18:59:41,,5星,3760,请看一部没有笑容的电影吧
雨果,2016-12-06 17:21:57,,5星,2168,辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。
Q。,2009-02-02 03:04:15,,4星,1763,“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆
踢迩达,2012-03-30 17:24:10,,5星,1784,这类片子，在我的概念里，和读书时四大名著同等级别，大部头，轻易不敢触碰，一旦决心看就要掏心掏肺100%投入。很辛苦。看完都像心灵负重走了长征。平庸之恶也许只是借口。真的猛士敢于面对人性的黑暗与软弱，敢于跳到体制中做出自己的选择。像伟大的犹太裔导演斯皮尔伯格致敬。
大头绿豆,2006-02-22 18:43:36,,5星,2134,救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。
杜扬Seatory,2006-10-26 05:00:56,,4星,752,献给导演认真的态度和无数个小高潮
孔雀鱼,2016-11-30 14:47:21,,4星,473,辛德勒的名单，当时我看成希特勒了，还以为是间谍片，后来看了发现是救赎片。二战时期的片子大多是在救赎和摧残中纠结。日光之下再无鲜事。不过不能否认影片很不错。
巴乌,2006-04-25 22:11:28,,5星,2376,我哭死算了我
快乐人生,2018-03-02 20:45:50,,5星,1012,斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
薇羅尼卡,2006-03-29 16:01:25,,5星,1164,很棒，直击人心。不知道什么时候中国也能拍出这样的电影。
影志,2006-01-08 05:32:13,,5星,631,每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅
橘猫爱吃鱼,2018-01-12 16:09:22,,5星,538,特别喜欢的片子，心里特别难受，从音乐到场景都是很压抑、很凄凉。当看到犹太人把金牙抠下来铸成了一枚戒指送给辛德勒那段时我已不禁泪如雨下。这部电影无论是在思想、剧情、摄影、音乐都做到了目前战争片的极致水平。
fffeng,2023-10-20 00:50:31,天津,1星,1842,受害者早就成为了加害者。
老晃,2006-01-11 15:12:54,,5星,425,又看了一遍《辛德勒的名单》。斯皮尔伯格像小学生第一次交作业一样用心、虔诚、小心翼翼。每个创作者都该记住自己的这个第一次。
徐然,2023-10-19 00:10:58,海南,5星,289,几十年的时间也转眼即逝吧 2023年10月18日 这个世界的某个角落里 又有人撕开了文明的薄纱 极权鼓舞着镰刀 忘记了战争的伤痛忘记了祖辈的痛苦 当热浪裹挟着震动在加沙吞噬了那些年幼的生命带走了那些无辜者的灵魂 当这些暴行躲在所谓政治的躯壳里卖弄自己丑恶的嘴脸 我隐隐约约在厚重的历史重影中看到了曾经 看到了“新纳粹”......
一只阿柒,2023-10-22 09:03:28,陕西,1星,1200,30年后的10月 巴以冲突 无差别炸毁医院学校 真是好讽刺
沐之,2023-10-17 09:11:27,天津,3星,334,老片新看结合历史与当下，犹太人的宣传做的太好了，这些书、影视从来就不会提到一点就是迫害犹太人的，不只有纳粹，还有他们自己的精英们。每年那么多二战犹太受害的书与其他著作，自诩是人类伤痛的那些学者可曾关注同样是二战里中国人民被屠杀的事情？这就不得不提到某人在美留学期间教授讲述犹太压迫时，底下同学纷纷抽泣。当他站起来谈到同时间的东方大国人民同样被残忍对待时，同学们立即止住抽泣转而以怪异的眼光望着他，教授打断了他的话语并继续讲回犹太人的故事，同学们继续抽泣。
奶包的乔巴,2021-02-07 00:41:05,,5星,183,Amon是一个塑造的比Schindler更立体的人物…信仰、情感与人性的冲突、矛盾和对立…像电影里说的“也许…你不是错的，错的是这个世界”他爱上了Helen但是他不敢承认，他对Schindler说想要带Helen回家与她白头到老…但 nazi 他所一直服从的信仰 不允许他承认 不允许他去爱。他明知道Schindler 的行为是为了什么 目的是什么 但他默许了。在Schindler亲吻犹太女孩之后找借口为他求情。Amon像一个没长大的孩子，对很多事情是迷茫的，nazism好像是他唯一可以依靠的东西。在Schindler告诉他“饶恕才是权利”之后，他像个孩子一样 用一种与平日commander截然不同的语气尝试着说出饶恕 的话语，往日他从未讲过的话语“ i forgive you” 十分的生疏
钵钵牛,2023-10-22 07:21:51,内蒙古,5星,345,给这一代人保留点尊严和希望，特来打分
Martin Chen,2023-10-22 08:39:20,辽宁,1星,1026,现在看来就是一部笑话。。
刘小黛,2009-03-09 19:18:52,,5星,190,站台记录了那个年代可怕的未来和往昔，人心充斥的只有霸道和惨绝。
cassidy,2009-03-05 01:43:30,,3星,462,"属于看时激动,看完越想越没意思的那种"
掉线,2012-11-19 21:42:34,,4星,308,一部没太大感觉的公认神片，拍的的确是很真实，但或许我口味重了点，还嫌不够残酷吧……最后辛德勒对着一千多人的一番话泪崩了，我和同学俩大男人在自习室默默泪流再默默用纸巾抹泪的场景太喜感了
米粒,2010-03-19 12:09:31,,5星,258,爱电影必看的一部，黑白色里的红衣小女孩和温暖的烛光令人印象尤其深刻——导演很清楚我们需要怎样的震撼和感动
雪狼༊྄ཻᏴ࿆Ꮻ࿆Ꭶ࿆Ꮥ࿆,2023-10-22 07:35:53,辽宁,3星,415,有意思的是，幸德勒晚年家产为犹太人耗尽，多方求助只得到了1.5万美元帮助，重新创业却被犹太人排挤打压。
Jean,2005-07-18 12:51:00,,5星,376,人性之恶，生命之荒谬
Marmalade.,2023-10-19 22:07:35,福建,未评分,142,补标。#当初《乱世佳人》下架那么多人觉得不合理，现在为什么又合理了。如果真的因为现实的一些狗屎事情就时空出警cancel一些书一些电影，那真就文学无用了。
wuli月半子,2023-10-25 11:09:56,上海,2星,639,之前看很感动，现在结合现实，有点讽刺
