用户名,评论时间,IP属地,评论分数,有用数量,短评内容
沉歌,2007-10-14 15:39:36,,5星,16200,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~
杜扬Seatory,2006-10-25 01:38:08,,4星,9530,我开始想要过得快乐，睡在床上，有牵挂
沙门,2007-08-16 10:52:43,,5星,9368,一半的魅力来自反派：Gary Oldman.
眠去,2007-02-10 10:52:10,,5星,9193,她对Leon说，自从遇见你后，我的胃，再也不痛了……
大头绿豆,2006-03-19 12:38:36,,5星,6896,Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。
lily,2016-11-29 18:14:06,,4星,3325,里昂只有一颗盆栽，不善言辞，爱喝牛奶。他不像，却真正是一个杀手。玛蒂达的到来，是包袱，也给里昂带来了生机。不过这种设定，注定是悲剧收场。里昂死后，玛蒂达将他盆栽的种子落地生根，里昂终于不再每日拿着手枪在椅子上不安地入睡，他落地了。娜塔莉波特曼太灵了，玛蒂达是如此特别。
左宜右有Haak,2012-03-19 18:44:28,,5星,8314,一个杀手被一个萝莉害死的故事
shu,2008-07-07 00:28:44,,5星,5796,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。
xjxiidjsns,2008-06-24 21:04:30,,5星,4191,-Is life always this hard.or is it just when you're a kid-Always like this.
Camellia,2008-06-23 19:52:24,,5星,3409,"Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go now, go."
酚酞,2012-03-10 17:23:47,,5星,4804,看到泪飙，世上最温情的杀手。幸运的姑娘在12岁就遇到了真正的男人。
Nalakuvara,2008-10-25 11:20:45,,5星,3659,或许是很多姑娘大叔控的根源。
。光本,2006-10-16 02:16:04,,5星,2298,爱上了让雷诺。爱上了这个意大利杀手的温情。爱上了他脸部轮廓，和刚毅的线条。“人生诸多辛苦，是不是只有童年如此。”玛蒂尔达问。里昂说，“一直如此。”这样的话，击中了内心深处。
陈苍苍,2012-06-02 13:15:23,,4星,376,“这是关于两个小孩的故事，一个女孩和一个男孩，在他们心里，他们都是12岁，他们都感到失落而他们深爱彼此。”
艾小柯,2006-08-09 05:50:48,,4星,549,传奇，童话，传奇，童话，传奇，童话……
Cherry,2005-07-12 17:13:10,,5星,2866,喜欢这个喝牛奶的男人
百骨金titi,2017-12-20 10:03:23,,4星,362,大叔萝莉的爱情💏，电影很好看也很经典，但我还是有点接受不了这种年龄差，这个里面还是诠释的很好，可惜大叔最后死了😭
高歌,2010-05-15 16:11:16,,5星,2505,我到哪里找，像你这么好。
小儿勾,2007-01-16 18:57:09,,5星,1516,"Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone."
亚比煞,2012-08-06 09:18:29,,5星,1376,“你最好对我一点感觉都没有。因为只要有那么一点点。你都将会后悔你没有让我知道。我爱你，里昂。”看完第六遍，很多台词都会跟着背，还是会哭。
大笨象騎士,2023-10-18 14:26:58,广东,1星,535,What the……豆瓣电影250的TOP5居然是这种垃圾货色，豆瓣有至少220w人在为一部恋童癖导演拍的恋童癖电影真情实感地讨论“他们之间到底算不算爱情”，OMG！！！前面还没到性暗示情节就已经觉得Mathilda的着装如此令人不适，后面换装、喷水、要求做爱的情节简直就差把“我是导演，我是变态”写在脸上了，居然还有不少人假想Natalie去拍Lolita……更别说烂得透顶的剧本，写那警察的各种降智操作真是把观众当猴耍，你们不如直接说这是部儿童片好不好？大家都在玩过家家，所有的男人哪怕到了80岁都仍然是8岁小男孩呢！
伊豆,2008-08-03 14:08:26,,5星,1433,杀手又怎样？警察又如何？冷酷或者温柔，不是靠职业来评断。那个警察冷血的想让人捅死他~！而这个杀手，让人心疼的只想轻轻的温柔的抱抱他。
汪拾叁,2007-01-05 16:45:59,,5星,1549,超级爱那个男人抱着一盆植物走在街道上的样子。
布那那鱼」,2017-08-01 00:02:43,,2星,952,不管大家怎么为这个电影附上美好纯粹的感情色彩，说他们内心世界年龄是同步的，但是我无法忽略这就是一部说一个未成年幼女和一个大叔的接近爱情的故事，光是这点我就无法克制自己的反感，心无旁骛地看。让我不解的是竟然没有多少声音在质疑这点，而大家都用美好的滤镜去过滤粉饰这样一个原则问题
kingggggg,2018-04-01 20:44:50,,1星,550,我tm真的不明白为什么这样一部烂片会有那么高评分，观众都是萝莉控吗？剧情总结，就是原本一世英名，无坚不摧的杀手，被一个刁蛮无理，思想极其阴暗的少女给坑死了。凭什么占据豆瓣排名第三的电影？？？
亘佑,2021-08-11 03:25:10,,1星,465,臭名昭著的恋童癖电影。最令人发指的一点是，原始剧本是有床戏的，是试映后在美国观众中引起的轩然大波，外加主演娜塔莉的家人的激烈反对，电影才改成最终较为收敛的擦边球的样子。电影的上映，给女主娜塔莉带来了现实生活中的无尽的性骚扰和心理阴影，直到今天她都对《这个杀手不太冷》拒绝评价。这种妥妥的反社会电影，即便能把观众骗得五迷三道，也逃不掉成为业内人不齿的影史黑历史的命运，不然怎么会什么奖都没拿？导演吕克贝松也是劣迹斑斑，早在1992年就和15岁的女孩发生性关系致其怀孕，在法国这并不违法，但在美国吕克贝松就是个强奸犯。看«超体»的时候就觉得，看完这部更加确信，吕克贝松这人，不仅仅是不入流这么简单。一星？负五星都描述不了这部电影的恶心。
sasameyuki,2024-02-20 10:48:05,黑龙江,5星,847,我对只能看出炼铜的人无话可说😅
壳子,2017-01-03 10:38:40,,5星,836,人们常说这是大叔与萝莉的爱情 在我看来却不然 大叔的内心也是一个孩子 他很少与人接触 更不要说异性 小女孩直白地表达爱 慢慢地动摇他的心 让他知道原来这个世界上还有这么美好的感觉 两个孩子为了爱奋不顾身 为了最纯洁的爱
小耳朵图吗,2006-07-18 04:45:44,,5星,1206,娜塔莉波特曼激萌啊
登对,2016-12-31 10:14:12,,4星,346,确实经典  没有很狗血的剧情  没有大尺度的卖肉戏  但是好奇怪我竟然没有被感动哭
正在喝牛奶,2012-03-05 17:42:38,,3星,6441,我没啥感觉的公认好片。
651564165cz,2018-01-20 12:02:35,,4星,291,经典好看，昨天又看了一遍。好电影总能让人回味
Q。,2008-05-18 01:10:33,,5星,607,叙事节奏清晰流畅，毫不拖泥带水；Léon、Stansfield、Mathilda，几个主要人物个性鲜明； 加上如同MTV般快速切换的画面，影片从头到尾紧抓观众的眼球，非常难得。更因为此片，让全世界认识到了娜塔莉·波特曼。★★★★☆
microbentley,2022-07-05 12:05:50,,1星,415,大家都没有发现这是炼铜吗，原来的剧本里还有床戏，1星都不想打，娜塔丽波特曼后来遭到了无数炼铜癖的骚扰。
OnJel.,2007-02-12 06:14:09,,5星,814,找不到比这个更喜欢的了。
LYX不忘初心,2018-01-31 20:59:13,,4星,138,I love three things in the wordthe sun the moon and youthe sun for morningthe moon for nightand you forever
Neophyte,2021-08-05 00:41:49,,1星,234,演员演绎或许很棒，但情节设计未成年小女孩迷恋甚至引诱大叔令人不适。看到豆瓣这么多人把这部电影奉为圭臬，我愿称之为国内显性恋童癖和隐性恋童癖的集体高潮。
你看起来很美味,2012-02-26 15:30:18,,5星,412,我希望你没有说谎。我希望在你内心深处真的对我没有一丁点儿感觉。你最好对我一点感觉都没有。因为只要有那么一点点。你将会后悔你什么都没有对我说。我爱你，里昂
王xx,2007-12-16 21:46:03,,未评分,745,我妈说：这个小孩儿怎么办啊，她又不想学习！她又学不进去！
雨果,2016-12-18 23:05:16,,5星,312,一个行事一板一眼有条不紊的杀手邂逅了一个激越鲜嫩的小生命 原来之前的悠悠岁月自己从未活过 一个反叛哀怨愤世嫉俗的弱小灵魂荡涤了一个沉睡中的王子心灵 从此一塌糊涂糟糕透顶的生活有了希冀 谁说年龄是问题 谁说身高是距离 小王子被他的玫瑰花驯服了 小女孩从此有了兰花作伴
