用户名,评论时间,IP属地,评论分数,有用数量,短评内容
29,2025-01-15 01:08:03,江苏,3星,167,老1爱上嫩0，想尽一切口才、办法搭讪成功上床🛏️，没成想嫩0也只是寻求刺激，对老1的态度时而亲近时而疏远，吊着老1🤣每当老1觉得上完床感情会更近一步时候就被嫩0无情嫌弃🤣不得已，老1想通过某种玄学手段来套住嫩0达到“肉体与灵魂合一”的境界。。嫩0发现被套路后无情抛弃老1。最后的最后可怜的老1临终之际蜷缩着身体摆出抱着嫩0的姿势悲惨结束生命🥶
二春,2024-10-26 00:22:54,北京,4星,161,我觉得评论区里大部分是被BL剧给带偏了，电影是表达，不是满足观众的意淫
查理曼大帝,2024-12-15 06:20:58,英国,3星,127,抱着《以你的名字呼唤我》的心态去看，没想到看了个《2001太空漫游》
VincentP,2024-12-12 08:05:06,美国,5星,29,"竟然十分喜欢这个纯爱战士为爱发电的故事。I want to talk to you, without speaking点题了。"
饮歌,2024-09-11 06:08:05,加拿大,3星,118,全片可以很清晰的看到瓜导以前电影里所有熟悉的影子。总共四个章节，头重脚轻，前两个章节有多美好，后两个章节就有多抽象...看罢电影终于知道威尼斯传出的那句“一个明星的诞生”是什么意思了，Drew Starkey被拍得实在太美好了，很久没有在大银幕看到一个让人觉得好看到只要他一出现就会心跳的角色了。
迷榖,2024-09-06 19:53:44,河北,未评分,91,热评:  瓜达尼诺，你天生就是拍porn的命，别来糟蹋电影了      哈哈哈哈哈哈哈哈哈哈
宇宙尽头小卖部,2024-09-14 11:00:36,加拿大,2星,258,TIFF24 Day9｜男酷儿是不是什么屁大点事儿都能写个传记，然后还有男人帮他们拍出来。
Lucas_,2025-01-13 05:31:48,西班牙,3星,60,形式强于内容。瓜导应该好好打磨故事，现代的男同性恋最富盈的就是性幻想，缺乏的是感情。
泰式青檸,2024-09-04 03:49:19,意大利,2星,67,#Venezia81，卢卡瓜达尼诺在我这里信用清零了🥲
荆棘,2024-10-05 13:56:19,美国,3星,22,这是gay片还是禁毒宣传片？？？
嘟嘟熊之父,2024-09-03 22:15:08,意大利,4星,112,很显然，布景（酒吧、街道、卧室）的塑料感是一种目的，如手工课作业一样可被肆意折叠，意在创造一条抵达特异世界的通路。与之类似的，猛然加速的蒙太奇、突如其来的流行金曲、克雷格表层的喜剧反应和深柜媚俗式的表演特征让一切都显得梦幻而轻浮。自次段起，影片氛围逐渐癫狂，似为了弥补《阴风阵阵》的遗憾，身体的扭曲、情感的断裂、叙事的破碎渐次浮出水面，并直接联动《尤里卡》和《鬼魅浮生》（很神奇的是，阿隆索和大卫洛维同时出演了本片），堕入了虚无神秘主义。另，尺度不及预期，一到扒内裤镜头就切走，德鲁的身材真的是神级。
filoxiny,2024-10-18 23:35:45,英国,2星,54,LFF24 相比之下第三段还不错；两个人完全不来电，癫痫般的床戏，癫痫般的演技，癫痫般的配乐，我受够了；omar apollos dick scenes were 100% unnecessary i felt bad for him
大奇特(Grinch),2025-01-15 23:35:12,北京,3星,5,除了《挑战者》，我都不太能get瓜导的片。这次又是他那种身体与环境交织的“热电影”，整个观影体验下来跟看柯南伯格的《裸体午餐》似的。片中还引用了科克托的《奥菲斯》，展示的是通往镜中世界的路径。本片第三趴，角色被告诫喝死藤水如同照镜子，加上那些灵与肉的虚实交融，它可能想探讨身体接触，而不仅仅局限于爱。我理解不能，也不想理解太明，吸引我看下去的只有视听，熟肉和生肉合在一起的镜头有些惊叹。克雷格给我的感觉像是伪装成gay的情报员邦德，以牺牲男色来换取小伙的情报。
一條魚佔滿了河,2025-01-15 23:23:03,北京,3星,3,你的孤獨，都是自己一手造成的。某種程度上，讓我想起《單身男子》與《金髮男子》，卻都是反向的。當電影進入第四章時，外化地呈現親手謀殺了愛情時，我好像可以理解Luca Guadagnino在第三章的放飛，但我依然不願意理解，戀人之間的爭吵、傷害、彼此折磨當然可以用更外化地方式表現，但是是否非要魔幻不可呢，當故事的底色是現實，騰空也需要一個過程，而不應該是跳樓機一般直上直下。視聽層面依然出彩，美術構建起了一個舞台，只是，似乎每一次只要Luca Guadagnino過於在意視聽，尤其是聽時，就總會在敘事上出現紕漏。Daniel Craig的表演，不至於驚喜到刮目相看，但是層次變化處理得異常細膩絲滑，無論是外在的情緒，還是內在的心理皆是。
VicWallflower,2024-10-05 04:01:40,加拿大,3星,14,#TIFF2024#更像是Guadagnino对于原著的私人手记，Justin Kuritzkes作为顺直想要挖掘酷儿时间性然而作为编剧就是积累不够。三段式的叙事，让欲望的酷儿色彩渲染魔幻拉丁美洲，从床第之间的交缠到亚马逊森林脑内高潮的迷幻，然而很多时候观众却似乎总是被表面精致的production design喧宾夺主般地带领，对于电影想要表达的独特酷儿叙事却始终隔着距离。那么“Queer”带来的最大问题是什么呢，Guadagnino和他钟爱的各种queer baiting直男演员在这一赛道不断重现，是不是也是电影话语霸权的表现？至少在本片中Daniel Craig和Drew Strakey表现都相当平庸，而后者还想被进一步营销的姿态就让人不适。
Yurixius,2024-09-04 20:50:17,法国,4星,94,如果说cmbyn是耽美小说的话，这个就是同志文学。前半部分拍得像瑞恩莫菲，后半部分回归到《阴风阵阵》灵肉一体的风格后开始精彩纷呈：梅洛庞蒂的身体现象学、拉康式欲望与匮乏的精神分析以及酷儿重新经历mirror stage塑造主体性、福柯的权力与性欲的社会构建、各种性与欲望的象征符号……几乎包含了从黑格尔到后结构主义的大部分酷儿理论，丰富度远超故事本身，可以单独写一篇了。但其实，谜底早就已经在片头Nirvana名曲中了：What else could I say? Everyone is gay。New Order也是重要的音乐线索
舌在足矣,2024-10-05 06:01:38,美国,3星,6,鸡肋
SundanceKid🌈,2025-01-14 17:57:05,浙江,3星,6,queers早晚得get over twinks，激烈渴求私下时却低语呢喃、亲切柔软，星钥像同志爱神确实漂亮。前半小时是意料中的瓜导，整座墨西哥城在帆船瓶中，精致暧昧隔绝于现实，你看我多有雅兴就多可怜。三四章节却是真正的瓜导，丛林奥德赛影像上多丰富，蛮不在乎但wanna talk to you without speaking
小兔芭妮,2025-01-23 00:09:42,广东,3星,2,就是一个朱星钥恃靓行凶的故事，还好有闪闪发光的绝世美男，不然真看不下去。
乔治洗衣机,2025-01-03 01:52:40,德国,3星,2,"20250102 瓜达尼诺确实可以试试拍cocteau 但拍威廉巴勒斯还是差些锋利 - disembodied, I embrace you w/ Dani"
三水,2024-09-11 04:23:19,加拿大,4星,65,#TIFF DAY 5 这叫癫？哪里癫了？Craig演技赞爆了，贡献了他演员生涯最好的表演。对这个人物心情很复杂，愤恨又同情。最后15分钟确实抽象，但不影响整体品质。真的有被克叔电到，心中排位目前仅次于阿莫多瓦『隔壁房间』。8分
