用户名,评论时间,IP属地,评论分数,有用数量,短评内容
朝暮雪,2017-03-16 07:34:01,,4星,3266,波兰斯基凭借此片获得奥斯卡最佳导演，却因遭到通缉而没去领奖。生活不像电影，生活残酷多了。
Zia,2009-12-23 21:56:24,,5星,9253,最刺痛的是那被直接丢出阳台的坐轮椅的老人
今天小熊不吃糖,2010-01-31 10:13:21,,5星,4005,影片的结尾让整个故事的基调上升了几个层次，这并不是一部简单的反映二战反映犹太人与纳粹的影片。人性是很美的，当然，人生的际遇变幻各有轮回
PuNa,2006-02-12 22:40:40,,3星,2659,如果说它想反映纳粹的残酷，那一点都不算残酷；如果它想反映主角的坚韧性命，那只能说他是运气好；反而我倒挺同情那个最后就他一命的德国人的。。。我想用ridiculous来形容，可以么？
Deborah,2006-11-28 14:30:27,,5星,4883,从此就喜欢上Adrien那张驴脸了
Doublebitch,2011-11-13 21:42:51,,5星,4145,“你为什么穿着德国人的衣服？”“因为冷”
次非,2008-10-25 23:31:09,,5星,2878,你叫什么名字？ 斯皮尔曼。斯皮尔曼，一个好钢琴家的名字。
youngman,2009-09-08 16:50:00,,5星,2709,谢谢上帝不用谢我，他让我们死里逃生，
野次馬,2007-12-12 14:55:19,,5星,1545,好难过好难过。仿佛就连呼吸的功能的丧失了。战争来时。任何人的意志都受到扭曲。毫无例外。从拒绝佩戴袖章到拉着德国军官的裤子求情。人就这样一步步在战争之中沦丧。 幸好还有音乐。还有艺术的伟大。伟大的艺术。
大島,2015-12-22 14:54:11,,5星,1682,男主的幸运值已经达到MAX，但是每一个经过二战活下来的犹太人应该都像男主一般幸运才可以。
影志,2005-12-28 01:21:42,,5星,1740,某种程度上可以媲美《辛德勒名单》
LORENZO 洛伦佐,2011-01-16 10:35:47,,5星,1071,我偏向认为这是一种全世界对于艺术的无私保护，大音希声，恐怕只有面对艺术人们才难得在价值观上达到类似的趋同。
Eudemonia,2007-03-18 00:06:40,,5星,1248,这片子，跟男主角那两抹气质超群的眉毛一样耐看！哈哈
米粒,2009-06-16 17:45:34,,5星,874,在影院看，恐惧和难受真是无孔不入。波兰斯基以一个观察者的角度展现了波兰的二战场景，看似冷静却又是最可惧的。而人活下去的信念到底能有多强大，恐怕不到死神擦肩而过的关头是无法预料的。如果说一部电影能给人信念，那《钢琴家》就是这样。
A-sun*,2010-06-12 22:15:45,,5星,1643,那个耳鸣太震撼了。
CaroKann,2020-10-28 19:59:40,,5星,816,忘不了那颗被分成六份的糖。
寂地,2006-01-03 16:37:22,,4星,1745,可能因为刚看了拯救大兵，所以难免的觉得这里描述的世界太干净了．是的，即使你已经觉得很残忍了，它还是太干净漂亮了一点．但是我还是非常喜欢这部电影，．只要那些温暖的东西在，就好了，尽管战争的事实，实际上是要残酷得多的．
嘟嘟熊之父,2013-11-07 22:18:30,,5星,351,一边是自我蚕食挣扎的生，一边是目睹他人绝望的死。电影的复杂性不在于正义、苦难或者残酷的背景，而在于战争之中人们依然因其生命的复杂而被左右和控制。所谓宿命，既是命悬一线的咬牙坚持，又是冥冥之中的上天注定。
有心打扰,2012-02-28 00:29:29,,5星,331,1.看完只想大声呼叫：生存有理！2.战火中，即使他的双手不再白皙修长，美丽的钢琴音符仍旧从他的指缝间跃动而出。3.影片着力表现钢琴家的悲惨境遇，而他却是犹太人中最幸运的的幸运儿之一。4.罗曼·波兰斯基的镜头下，弥漫着荒凉末世的画卷感。
李濛Lemon,2016-09-23 00:23:47,,5星,321,战争几乎摧毁了他所有的骄傲，废墟中求生的日子里他如行尸走肉，只有当手指掠过琴键，音乐再度在耳边流淌，他的尊严与梦想才再度清醒过来。导演对故事的掌控力简直可怕，情绪传达得相当到位，电影时长两个半小时却毫不拖泥带水，每一次转场都处理得干净利落。前半段主角视角下的难民群像触目惊心。
不二,2022-04-14 16:37:14,,5星,294,想不到有一天，我也在吃发芽的土豆了🙃
赫恩曼尼,2015-03-29 06:58:53,,5星,288,一个人的流亡历史，一个民族的苦难血泪史。
台,2007-04-06 23:10:44,,3星,776,对于一部记录二战中的犹太人的电影来说，相比《辛德勒名单》它只能算是入门；对于一部钢琴题材音乐电影来说，它也没有《海上钢琴师》壮阔。
Kohimo,2022-11-20 01:18:54,湖南,5星,110,1、一个人的教养只要形成，那便一定伴随一生，他在快饿死时依旧是非常羞愧地问“我能要一块面包吗”，很可贵的时对方并没有施舍而是回答“我们和你一起吃”；奄奄一息时也不忘对医生说“谢谢你”，翩翩君子啊…2、一定要精湛一门技术，无论是在精神上还是物质上，多多少少能够给我们活下去都希望。3、要善良，一定要善良，虽然可能没法活下去，要和平不要战争，哪怕活得很艰难也要和平，至少还有人岁月静好。4、看看二战电影，再审视我们的生活，真彻彻底底应了娄烨那句：“战争中你流尽鲜血，和平里你寸步难行。”讽刺的是让人民平等的不是所谓的进步的发达的社会，发达只会越发让参差不齐，战争面前倒是真的人人平等了，人人都是下一秒钟都可能死掉，太……讽刺了……
路克,2006-06-11 22:12:17,,3星,387,其实并不太好看~
小墨MO,2012-06-05 06:34:49,,4星,1010,不要嘲笑他的苟延残喘 为了活下去 他放弃的那些尊严 坚持 和 希望 在战后又重新披回到他的身上 战争所造就的废墟 已经把他的心碾成残渣 他始终活动着的手指 在每一次命运交接时暗暗弹奏着命运的主题曲 Adrien Brody把他的挣扎和优雅都演活了 面对死亡和恐惧 我们都一样渺小 最艰难的 其实是坚持
西楼尘,2015-07-07 23:22:16,,5星,145,直面苦难，数次与死神擦肩，历史沉重得像一个歇斯底里哭喊的人，呜咽悲戚，却发不出任何声音。威廉·霍森菲尔德与席皮尔曼之间的小插曲闪烁在苦难记事薄里显得无足轻重但弥足珍贵。同样是苦难，《金陵十三钗》煽了眼泪，《钢琴家》奏了首无声之曲。波兰斯基让这与电影相处的150分钟变得无比凝重而深刻。
Ocap,2014-08-13 16:05:47,,4星,541,罗曼·波兰斯基的场面调度也可以超越斯皮尔伯格，深青淡黄的画面风格似乎成为了一个时代的印象颜色。电影本身就如一曲感伤的肖邦，流畅自然地穿梭过残暴与鲜血，一直在酝酿高潮的前奏，最终却平铺直叙地收尾，直接让你在意犹未尽的同时体会到战争与命运轮回的无始无终。
新村萌香,2010-01-29 16:36:20,,4星,272,心痛，有一个强大的国家是多么重要。如果我是主人公早活不下去了，不是自杀就是饿死忧郁死吧，让我想起余华的《活着》。另外就是很喜欢最后那个救了他一命的德国军官。
蓝色啄木鸟,2017-02-18 13:51:36,,5星,191,很震撼人心的一部二战影片，从窗口被直接扔出去的轮椅老人，帮助男主且痛恨德军行径但又一直在升职的德国军官都令人印象深刻，战争中人性都被无限放大，很多事情已无法简单用对错判断！
祖国人,2021-12-26 09:26:22,,5星,124,就算波兰斯基没有被曝出性侵的丑闻，这部电影电影也足以表明他是个疯子、怪物。看惯了战狼式的战争片，我很难想象一位母亲丧生于集中营，自己侥幸从铁丝网破洞逃脱的人，能导演出这样的电影。这不是克制煽情，而是冷静甚至于冷酷。大量的白描处理，纪实般的镜头，都让人觉得好沉重。
Sophie  Z,2017-08-02 10:56:42,,5星,190,完全可以理解男主拍完这部电影后为什么出现类似PTSD的症状。最震惊的一幕大概就是他的手指隔着空气在弹琴键的样子。
寒枝雀静,2017-07-18 17:09:03,,4星,74,C＋ / 最大的优点是没有将战争中的艺术元素阐发出过分的诗意，而是集中展现主角的视角下战争生活最为真实的“苟且”。其他方面似乎更觉得工整而少有特异之处。倒是开头一个个谣言成真的段落与现实生活有种莫名的呼应。有种来看金棕榈结果看了部奥斯卡BP的感觉。好吧我承认还是哭了很久。
风向未来吹去,2008-06-24 21:34:15,,3星,255,莫非是我铁石心肠？没感觉
Q。,2009-02-02 02:32:25,,5星,230,那些跳跃的手指和灵魂。★★★★★
菲菲蓝,2022-01-22 17:22:13,,5星,118,那颗切成六份的糖果、那个被扔下楼的坐轮椅的老人、那个趴在地上等着德国人换弹夹然后被开枪打死的光头犹太人。点点滴滴尽显战争的残酷。在那样的岁月里，只是想活下去，都是那么艰难的事。
朝阳区陆依萍,2016-05-31 20:37:25,,3星,198,所以，人一定要有一技之长。
某J。624,2020-08-25 17:46:47,,4星,68,通过钢琴家的视角来展现那场在家门口惨无人道的屠杀，也因为是钢琴家的视角，观众看到的更多是一个人想要活下去的挣扎与战争中大部分平民的心理状况以及人性中始终不灭的善意。导演拍得非常克制，当年真正的惨状如果看照片绝对会引起身心双重不适。至于说钢琴家因为有一技之长所以在军官手中活下来的，事实上这位军官不仅帮助过男主一位犹太人；然而也正是因此，关进集中营六年后，最终被折磨致死（苏联人认定军官撒谎）。
春潮如往,2022-04-21 00:10:05,,5星,87,4.20上海封楼中看。当年父母让我学乐器，是否也有这种考量呢？我意识到得太晚了吗，爸爸？你被封在家里，你会演奏它吗？
萝莉不克我,2022-02-14 21:55:17,,5星,119,最终 钢琴拯救了他的生命 但战争早已刺穿了他的灵魂
