用户名,评论时间,IP属地,评论分数,有用数量,短评内容
今天小熊不吃糖,2008-08-12 06:12:09,,5星,20147,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来
影志,2006-02-13 02:13:17,,5星,8496,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。
娜莉梦游仙境,2016-12-09 22:25:37,,5星,5811,傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……
林愈静,2006-04-21 21:00:17,,5星,6484,每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍
荞麦,2012-07-01 16:07:52,,5星,4574,重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。
xjxiidjsns,2008-06-24 18:49:25,,5星,4520,Mama always said life was like a box of chocolates. You never know what you're gonna get.
大头绿豆,2005-09-11 14:13:53,,5星,5689,阿甘奔跑的意象，应该留在了很多人心里。
雨果,2016-11-20 19:08:09,,5星,3162,这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。成功充满必然与偶然。人生就像是一盒巧克力。最经典的两句台词
mon babe,2008-01-08 16:46:09,,5星,4595,you are my girl.
陈毓秀,2013-09-21 21:59:36,,5星,2385,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”
乔西,2009-09-05 03:18:08,,5星,3770,我生命里最温暖的一部电影
办公室甜心,2011-12-14 23:03:55,,5星,1545,"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。"
眠去,2007-02-10 10:55:49,,5星,1810,人生就像一盒巧克力，你不知道会选中哪一颗。
不良生,2015-03-26 13:06:12,,5星,1156,又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。
亚比煞,2008-06-16 09:25:37,,4星,3859,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。
王小邪,2008-02-02 15:58:24,,5星,1030,遇见阿甘一般的男人是一生的梦想
墨语悠然,2016-12-10 09:50:32,,5星,782,"上中学时看的剧，印象最深的是那句：""Run! Forrest! Run!"" 然后，他就跑出了自己的阴霾，跑出了崭新的人生~非常励志的一部剧，让我重新审视自己，让我更有勇气！"
同志亦凡人中文站,2012-01-14 15:28:23,,5星,945,我一直记得那根羽毛
蓝下老婆,2017-03-11 16:48:06,,5星,503,这当然是部励志电影，但我也觉得是部教育电影。阿甘智商底下，思想单纯，所以他的成长环境很重要，需要三观正的人来引导他，显然他是幸运的，他娘和他女朋友在他成长过程中给予他足够的爱，鼓励他，支持他，让他辨别善与恶，才成就了他，给他娘和女朋友三颗星，值得我学习
