用户名,评论时间,IP属地,评论分数,有用数量,短评内容
张翔森,2024-11-20 22:15:03,韩国,2星,379,副标题：《寄生虫2：拉拉的复仇》。
柯里昂,2025-01-07 22:52:26,湖北,2星,114,西语悬疑碰上韩式狗血，套上19禁的噱头，莫名绝配。宋承宪公费纵欲上瘾，南韩半糊咖也算是找到了没啥竞争性可言的翻红赛道，曹汝贞重回限制级，给老搭档打打辅助也是情理之中，好歹是跟着《寄生虫》在全世界刷了一波脸……至于朴智炫，这片脱与不脱根本一个效果，魔改原版的苦一人全吃，如此大牺牲换来个没啥水花的商业片女配，简直得不偿失……
粒粒,2025-01-07 05:12:41,福建,3星,476,宋承宪拍bed戏有一种张翰黄晓明拍总裁戏的感觉，仿佛每个动作都精心设计过。有时候看到某些凹角度凹得不符合人体工学的时候，真的觉得蛮解high的
肯德基在线点餐,2025-01-12 00:27:01,安徽,4星,177,放弃男女大尺度，改成女女大尺度，我将会力荐
momo,2024-11-21 14:43:31,韩国,3星,250,故事没讲好，氛围没有营造到位，人物形象塑造的莫名其妙，男主的演技也平平...比预期难看很多🥶🥶作为一部限制级影片，在作品质量整体不及格的情况下完全是把女演员当做噱头..
漫漫云端,2025-01-08 11:25:39,广东,3星,184,"改编得好炸裂 全员恶人😲男人不过是两个女人""play""的一环😂最后这种相处模式 你们开心就好👏🏻"
ヽJIN心JIN意.*,2024-11-21 17:08:47,日本,3星,190,已经很久没有为艺术献身的咖位女演员了，上一次还是全钟瑞。剧情毕竟是翻拍，应该没啥新意。PS：看了网上几个片段，这朴智炫牺牲有点大啊。
Mediterranean,2025-01-04 00:14:28,中国香港,2星,91,女童线铺垫得很草率，更多时间沦为情色噱头。性爱戏拍得像AV，莫名其妙的特写镜头男凝气息浓厚。还是更喜欢港区翻译破镜欲，镜子作为过渡体映射/转换人物的欲望。
大奇特(Grinch),2025-01-08 21:30:29,北京,3星,135,原来这是翻拍的西班牙电影《黑暗面》(2011)啊。新版改写了人物关系，表演上也比原版细腻，能演出“隐藏的面孔”那一层。已经不再是普通的悬疑故事了，这实际上是一个两女之间亦仆亦主的电影，这两个女人匹配了彼此的怪癖，丈夫基本上是个无关紧要的情节工具。
乙一,2024-12-01 19:18:03,韩国,3星,132,24-12-1용산역cgv 무대인사类型片，有点《寄生虫》+《某种物质》的味儿，但是这剧本陈思诚都看不上。分全给朴智炫，有点像全钟瑞，但是没那么疯。宋承宪演技差点笑出声。惊讶＝捂嘴，烦躁＝抓头发，懊恼＝摸额头，套公式是吧？（现场营业确实很积极）不知道豆瓣片名为啥译成隐藏的步骤，明明是hidden face，又不是pace。
取舍,2024-11-21 23:16:23,广东,5星,196,女主真粉……整体尺度和场面跟人间中毒差不多
只因太美被抓,2024-11-21 22:39:11,广东,5星,104,满分，朴智炫你是真的粉导演多找点美女合作😍推特搜朴智炫的英文名就有啦，别私我了2025.1.6 资源已出，微博搜就有
大尾巴狸猫,2024-11-24 10:22:49,广东,5星,49,朴智炫奉献
ideal,2024-12-16 13:21:57,黑龙江,5星,65,那些为艺术献身的女星 - 朴智炫
IRA,2025-01-08 13:04:50,浙江,4星,126,大提琴手富二代女，用房子和社会地位困住了帅而有才华的男人，又用爱和储藏室囚住了女人。一明一暗两段关系。尺度大，又欲又悲伤。朴智贤真出色，不论学生装还是萝莉装，不论对上男人还是对上女人，不论是脱光衣服还是穿着衣服，都表现亮眼。又纯又欲。
GIVIND,2025-01-07 17:17:17,山东,3星,109,金大佑这个导演也是有意思，看起来誓要把拍文艺情色片的宗旨贯穿人生了，偏偏拍得还都很不错，艳得旖旎美得深邃，营造氛围的功力属一流，探讨得都是人类深层次或阴暗面的欲望哲学，情色得非常一本正经——回到电影，虽然剧情充满了物理学bug，但不怎么影响主旨表达，且对于当下时代的观众这属于福利般的视听回馈，给瞻前顾后到逐渐平庸的世界影坛注入了一抹跳脱的色彩。// PS. 论起情色表达，影片前半部分朴智贤的大段裸戏，其实都不如结尾她被驯服后抬头时的一个魅惑眼神。。
花Young年華,2024-12-15 13:50:25,中国香港,4星,65,台灣金門，金獅影城Golden Lion Cinemax，票价260新臺币（58人民币）
春见野橘,2025-01-10 19:36:44,天津,3星,48,好奇情的故事，把原本简单粗暴的惊悚片改得有了李碧华的味道，每个人的欲望都那么幽微。单面镜真正有了隐喻，密室即最隐秘的自我，只能看到他人欲望，无法看到被困住的自我欲望。刁蛮大小姐占有欲强到要工具男也爱自己，完全占有公共和私下，真正与不可告人的双重生活。被驯服的贫穷女想要反击，力证自己能代替小姐，男人也能替代小姐成为情欲工具。性在这里成了权力关系的折射，到最后还是有钱大小姐获得一切，两个同样卑微的人无法抱团取暖，只有相互怀疑。最后被驯服成寄生虫的那个画面好震撼，再一次让我想起有句话：有些人实际并不向往自由，自由只会令她们无所适从。
阳光,2024-11-22 12:22:23,河南,5星,39,除了美还是美  剧情看着还是惊险刺激
爱喝少甜鸳鸯,2025-01-09 23:31:16,中国香港,3星,38,女同性恨的部分讲得再完整点就好了······最后有一种铺垫不足的空虚的爽
有心打扰,2025-01-09 19:50:48,福建,3星,30,1.生猛的情欲戏让我泪流满面，很久没有在一部讲究视听的电影里看到俊男美女上演这种尺度的段落了；2.结尾的主仆关系也是太妙了，我也想要有这样的“奴隶”，不，我甚至也可以当这样的奴隶；3.曹汝贞如果也有一段尺度更大的戏码就更好了，此处同《人间中毒》里一样遗憾，而宋承宪继《人间中毒》里出轨林智妍后，再次背叛曹汝贞；4.金大佑你拍片速度能不能快一点啊？！
9秒绿灯,2025-01-10 16:32:14,山西,3星,22,比原版《黑暗面》俗太多
张咏轩Wayne®,2025-01-07 22:18:00,内蒙古,1星,117,除了大尺度的床戏，各方面都不如原版，还加了女同性恋的情感纠缠，把三角关系书写成狗血的畸恋，角色翻脸如同翻书一样，反转就跟儿戏般敷衍，被困迷局和密闭空间里只会哭爹喊娘，简直毫无行动力的小白鼠，整体剧情被改编的软趴趴的，西班牙那版深入内心的冰冷和惊悚氛围全无，就贴合了个展示偷情和出轨的视窗作用，对情感背叛和犯罪性质的考量与决策如同过家家，角色的空间放置的最终转换也清汤寡水的处理，入密室营救的那场戏都给我看笑了，真的除了朴智炫大胆牺牲的脱与宋承宪体脂绝佳的身材，这片子就是个三流本土化改编的十八线货色，给原作提鞋都不配。★☆
司及璞,2025-01-09 16:01:52,山东,3星,13,被短评蛊惑看朴智炫才破天荒看部电影，注意片长是115分钟，某个app上随手点的不出意外删减了10分钟。最后半小时有点意思，多1星给朴智炫的出演决定，且有演出软妹感，所以结尾的畸形心理有点合理
付玲,2025-02-03 16:45:25,北京,1星,0,救命！
沈精病,2025-01-11 16:01:51,浙江,3星,10,一个自以为聪明信任感情的女人，一个想要鸠占鹊巢嫉妒作祟的女人，一个花心善变的男人。加入了同性的因素，让女主和女配的行动动机有了更多的可探讨空间，同时也是进一步削弱了男主的地位和作用。其实前面的床戏加一起都不如结尾那最后的一个被驯服的眼神来的给力。当然，为了那一点的裸戏也的确是没必要再看一次了。
朝暮雪,2025-01-12 13:44:21,四川,2星,35,导演堪称韩国陈思诚，好好的神作你原封不动照着抄就行了，他非要魔改。把原版最神的情节全部删了，比如原版中小三不知道原配被困了，她是自己发现的。再比如原配装死，骗小三给她开门，韩版改为了两人主动把她放出来。如果你是男主或女二，你都差点把别人害死了，你还敢开门放她出来？反过来说，如果你是女主，你出来后你会原谅男主和女二？杀他们十次都不解恨。一个想杀你并且真的这么做了的人，你还有心情和她搞姬？你不怕她哪天逃脱后报复你？如果拍到两人故意不放女主出来就结束，不比现在的结局好多了？原版就合理多了，原配把小三关在里面等死，并且也没有和男主和好。还有男主是忘了女二还在里面吗？他不想犯罪所以主动把女主放出来，那他为什么不把女二放出来？为了拍女主监禁女二的结局连逻辑都不要了，直接当男主失忆了。
倪永孝,2025-01-14 19:44:03,江苏,2星,2,这种翻拍改编意义不大
空瓶子,2025-01-22 11:15:54,广东,3星,1,翻拍自西班牙电影《黑暗面》，大框架一致，就是没安全感的女友突然失踪，男主陷入痛苦，直到遇到新爱，只是他并不知道前女友还藏在房间里，只是出不去……原片更注重对人性挣扎，带有灵异的恐怖氛围，反转也犀利而伤感，有死亡，也有葬送自己的爱情，男主则是最可怜的那个，而韩版少了那种灵异感，增加了大尺度情色画面，情节有不小改动，首先是两个女主都是大提琴手，还是师姐妹，男主则是指挥家，让彼此的联系更紧密，还有利益纠葛，其次原版女主是自发式设计考验，本片则是师妹设计的报复，还涉及同性话题，虽然更黑暗，但少了那种在得知男主前女友将自己关在房子里后，有想过救人，但又怕男主会因此离去的人性挣扎，同时韩版男主知道真相时也想隐瞒，有种全员恶人的既视感，结局也大改，算是所有人都得到了自己想要的事物，整体不如原版。
王仙客,2025-01-08 21:16:32,四川,4星,28,剧情节奏观感可以的，反转并不惊艳但也流畅，尺度算是挺大的了，画面质感和镜头都有点东西，情欲戏和床戏都拍的很有看点。朴智炫真是为艺术献身了，脸和身材实在太欲了。
托普希特,2025-01-16 01:51:44,北京,3星,1,比原版改编多一层同性主仆关系的确强化了戏剧冲突 想把时刻硬凹的宋承宪关进去看姐妹搞姬
不良生,2025-01-30 23:59:09,江苏,3星,1,一开始男蠢女坏，到最后女蠢男坏。感情是最不靠谱的一件东西，因爱生倦怠，因爱生欲望，因爱生恶，因爱生恨，都再正常不过了。这个故事告诉我们只有老妈最靠得住。
拉赫玛尼诺妇,2025-01-10 12:58:05,北京,2星,13,【4】悬疑感比原版差好多虽然设定更复杂了，拍太差了。宋承宪虽然还是帅的，身材真好，但演得就好普，女配牺牲好大啊，大尺度戏也没发挥什么实质性作用纯粹博眼球
内陆飞鱼,2025-01-25 16:03:25,云南,3星,0,当三级看吧，差原作太多。
影志,2025-01-14 23:03:25,北京,2星,5,毫无惊悚感，只剩拖沓冗长的悬疑，比原版《黑暗面》差太多，拉拉线、主仆线莫名其妙，一点点皮毛的情欲戏就叫大尺度？呵
柠檬精,2024-12-02 20:34:23,山东,4星,31,居然有尺度，可以可以
小侠来了,2025-01-07 14:46:54,浙江,3星,23,人家拍惊悚面，韩国拍情色面，真是一体两面~
Mr. Wrong,2025-01-15 06:08:35,摩洛哥,3星,2,多干几炮好不好？宋承宪面瘫了。
Daisy,2025-01-27 21:34:04,上海,3星,3,男主从头到尾就是个工具人…
正北偏北,2025-01-08 22:56:03,广东,3星,2,黑暗面的氛围和质感显然更好，但不是一次失败的翻拍，最后变成3P结局上了尺度
徐若风,2025-01-13 23:22:24,北京,2星,1,疯狂刺激眼球，但完全不符逻辑。
Xaviera,2025-01-19 00:46:04,北京,2星,1,难得在韩看了部要查护照的片……在一部片里看到了好多元素杂糅，又寄生虫又人间中毒又GL复仇。看完唯一的感想是：朴智炫通过其他作品其实人都已经红起来了真有必要接这种片吗？
游侠,2025-01-12 21:30:03,山东,4星,7,结局让我大为意外、略吃一惊…的确很反“套路”啊…是三个人“和平共处”了吗
Indecent time,2025-01-14 00:16:19,福建,3星,1,韩影这几年的翻拍除了尺度更大，没比我们这好多少……朴志炫太抢戏了，前辈曹汝贞这部只能说中规中矩。
酷酷哒彬先森,2025-01-15 00:41:27,上海,4星,7,三星给大嫂朴智炫，皮肤是真白，真的是又纯又欲，一星给女主赵茹珍，不得不说，赵茹珍比起方子传和帝王之妾时真的有点老了，但是那年代的我的韩国qs片女神，演技也在线，一星还是要给的，工具人宋承宪就算了，演技还是不行，大嫂是给他又享受到了，我发现宋承宪还真喜欢接这种剧本啊，哈哈哈
zhang 2nd,2025-01-30 21:27:35,山西,4星,0,优秀的翻拍不仅仅是用了原版厉害的创意，而是做了更广更深的拓展，这部就是有意义有价值的那种翻拍
萨罗迈拉,2025-01-13 22:52:38,广东,2星,9,毫无必要的裸露…同性情节也完全是男凝向的。真的要改写人物关系的话，最后不应该把男人关进去吗？太多没有逻辑的情节了…
安东,2025-02-11 13:54:05,山东,3星,0,宋承宪这把年纪了，身材也保持得太好了。朴智炫真美，真美，真美！不过还是原版更好看。
折翼的蝴蝶,2025-01-20 23:21:22,广东,1星,2,令我无语的改编。双性恋或同性恋被黑的最惨的一次。
方枪枪,2025-01-14 17:19:36,上海,3星,1,韩版《黑暗面》
z先森,2025-02-07 20:35:39,四川,4星,0,7.5。《黑暗面》的韩国翻版，反转顺畅有新意
SundanceKid🌈,2025-01-13 19:15:27,浙江,2星,10,如果不是宋承宪卖肉，无人在意这部翻拍。两个女人的关系改编，疑似直男醉酒后恶俗幻觉
