用户名,评论时间,IP属地,评论分数,有用数量,短评内容
陀螺凡达可,2024-12-11 14:21:46,北京,4星,3014,比第一部更好。被带节奏的舆论摧毁掉的梦想，飞机划过的夜空下突然亮灯的摩天轮，总是梦见自己输掉比赛的格斗高手，匍匐在城市丛林中的雄狮，都是导演在残酷现实语境（极度写实的场景）中对类型语法的熟练掌控，以及不断爆发着冲击力的影像，一招一式之间穿梭流动的运镜，突然的脑内蒙太奇是一波又一波情感巨浪，第二幕的戛然而止让电影在黑暗中劈出一道现实的裂缝，诺基亚、快乐女声和新闻记者一起在遥远的2009年召唤着我们的记忆，最终是为了出一口气（而非虚妄的励志），也是为了唤醒无足轻重的你我提出质疑和追寻真相与公正的勇气。
皮皮鸦,2024-12-14 01:39:14,四川,5星,3869,这哪是动画片啊，明明就是真人功夫片，真正意义上的国产成人动画！动作戏与渲染超一流，质感真实得可怕，这怎能是国漫的技术力，不敢信啊
谢谢你们的鱼,2024-12-08 20:24:48,北京,2星,563,太失望了，第一部是从童话走向现实，从乡村到城市，以励志片的结构玩现实主义，第二部则是无趣且老套的传统励志片。舞狮是绝望者的精神寄托，打拳不过是解决现实问题的方式，第一部深刻的人物情感内核在续集中荡然无存，我即不在乎拳场的输赢，也不在乎传统武术是不是式微，你是阿娟，不是叶问。你是《雄狮少年》，不是《八角笼中》。还有，网暴的情节真的是又老土又胡扯。
徐若风,2024-12-09 21:06:43,北京,4星,2394,不仅是今年国漫最佳，放整个院线华语片里比，也很有竞争力。刚开始还疑惑，阿娟怎么不舞狮、改打武术了？但后来才知道，原来武术是南狮的基底，随着“外来务工”的底层叙事逐步展开，在大城市立足的艰辛，被网暴后承受无数谩骂、瞬间毁掉的绝望感，完全把人的情感卷入其中，太戳心了，不自觉地就泪流不止（看过第一部感触会更深）。残损不堪的现实、宿命般热血的励志、传统与现代的对撞，最终都汇聚到那“神来一笔”的一幕：擂台上突然长出草丛，回望向城市高楼下那些顽强的“野草们”，都是我们这些无名的人，每天拼了命地活着。整体观赏性、节奏律动感都很强，生活细节极为饱满，尤其人物形象设计上也帅了很多。真心希望能爆！
マクガフィン,2024-12-14 16:00:43,北京,5星,3578,听懂了最后一句“交给时间吧，我相信清者自清”才能理解这部电影的难能可贵。这个世界有时候并不公平，感谢还有这些理想主义者。
Dazipa,2024-12-14 09:17:03,湖北,3星,1302,中规中矩，退步最大的是配乐，第一部选的几首歌适配度太好了，我至今还记得当年九连的莫欺少年穷响起来时浑身起鸡皮疙瘩。这一部中间两次rap观感真是乱七八糟，不仅审美降级，和片子的气质也完全不符。
果冻的大号布丁,2024-12-14 00:16:42,江苏,5星,3319,豆瓣怎么b王那么多啊。还要怎么做才能让你们满意？
匡轶歌,2024-12-14 16:31:35,河南,5星,2073,主创团队啊，我敬你一杯酒。原本还好奇到了第二集该怎样延续这个“舞狮”的题材，谁知，你们秉着“不生锈的初心”，给出了更高一层意义上的“醒狮”故事。莫欺少年穷是因为，少年生于野草间，胸中却蛰伏着不屈的雄狮。努力“变强”的意义，不是驱使这头内化的雄狮，去恃强凌弱，践踏和碾压他人，而是自强不息，去御服奔腾的生活，挺直野草般柔韧的腰杆，便能头顶苍穹，手摘星辰。最唏嘘还是那段对网暴的描写：资本的构陷，一段拼接剪辑的“爆料”，营销号矩阵铺天盖地的打压，不明就里的人跟风围剿，轻易就可将一名清白少年置于百口莫辩的境地，抹杀他的努力，斩断他的前路，掐灭他头顶的星火。这确实是我们时代的故事，过于映照当下的现实，让人有诸多联想。蛆虫怎会知雄狮之志，在这个百业萧条的冬日，谢谢你们为所有无名的人，燃起了一簇取暖的火。
DONT_BOTHER,2024-12-08 18:09:38,上海,4星,1743,在大银幕看打拳很燃，比真人打拳还真实。故事虽然还是比较老的内核，不过整体完成度很高。后半段拉回现实，尤其网暴一段很真实，比赛真正的黑幕不是让你输，是直接剥夺你的比赛资格。最后一段的蒙太奇直接看哭了，非常写意，野草不死，遍地扎根，雄狮隐隐可现。在锦江乐园摩天轮上，女生让阿娟发挥想象，阿娟说这些我想都不敢想。戳到我了，平凡的人呐，我们或许也失去了想象的勇气。最后片尾曲，舞狮出现在城市的每一个角落，很感动，出现在地铁里的那站叫拼搏站。
小旗,2024-12-14 08:34:55,北京,2星,316,没有雄狮，也不见了少年，只剩拙劣的狗血与鸡血；舍弃了舞狮和广东元素，前作所有的长处便全部化为乌有，当年登顶擎天柱依然遁入大城市的现实下沉，这一次则变成了开挂造梦成功学鸡汤的一步登天，全方位的浮夸虚假想当然，甚至文本和角色的空洞乏味喊口号，让本片可以与角斗士2并称为今年最没有必要存在的两部续集电影，而三个月速成便能接连斩落多位一流高手，现代格斗打败传武原来不仅靠规则干脆还要作弊？所以都快2025 了还要主打一个咱中华有神功？那你看看最喜欢这片子的会不会是闪电鞭马保国？不过啊，透让本片前后两部的自我精神消灭，倒是似乎也能看到我们每个人在这三年里的现实跌落
凹凸,2024-12-09 22:44:39,上海,4星,1209,技术上的全面精进，收敛烂俗段子后也让现实主义表达愈发明晰，从舞狮到武术的传统接棒无疑是聪明的续作思路。反倒是剧作因为过于工整而缺了些野蛮生长的力道，二元化的善与恶/草根与资本/传统与现代少了余味，不如前作的失败者之歌更令人动容。但看到擂台长出野草开出烂漫的瞬间，我依然确信，在这十年来各种雷声大雨点小的国产动画电影里，这个系列是唯一担得起“国漫之光”称号的。（还有一个很在意的点：从浦东飞美国的航班上是不可能看到锦江乐园的！）
杀死那个火车,2024-12-09 22:18:03,山东,1星,444,放弃了1里面最重要的悲情底色，既不懂底层又不懂格斗还迎合民粹。没活就别硬整，能拍出靠着一个老登主角们才脱离困境的剧情，说明这导演也就到这了。
Xaviera,2024-12-13 01:33:52,北京,3星,621,3年了，依然没学会写好剧本，同时把最亮眼的市井部分丢得一干二净
嘟嘟熊之父,2024-12-14 03:16:52,北京,4星,535,舞狮始于少年的偶然，是梦的开始；格斗则是命运的必然，残梦的延续。当主角们被造谣污蔑的声音击垮吞没，我们被再次打回现实，原来并没有什么具体的敌人，只有一种坚固的、狭窄的、随处可见又无力回击的处境。来到高潮戏，当幻觉重现，写实的招式变得更加写意，我们得以看到属于电影的真理：在现实的泥土与砖瓦上造梦，在梦的倒影中看见现实。
