用户名,评论时间,IP属地,评论分数,有用数量,短评内容
momo,2007-11-21 20:38:33,,5星,40296,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原
沉歌,2007-10-14 15:39:21,,5星,27251,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。
🔒⛓Nemik,2009-04-02 20:42:15,,1星,204,充满自我感动。完全没有对艺术的热爱或者对时代问题的反思。
蚂蚁没问题,2009-07-13 23:47:06,,5星,18852,就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿
kingfish,2006-03-22 12:32:08,,5星,17716,"不解,拍出过霸王别姬的人怎能拍出无极来"
凯瑟琳小姐,2010-01-17 18:03:20,,5星,12919,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
莫呼洛迦-屁股上的青春在歌唱,2007-02-25 15:03:25,,5星,10126,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。
艾小柯,2006-06-16 01:32:33,,5星,17130,最优秀的中国电影
香水瓶,2006-04-15 19:25:43,,5星,11930,君王意气尽 贱妾何聊生
文泽尔,2007-09-19 22:44:29,,5星,5790,往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。
UrthónaD'Mors,2011-06-13 19:09:58,,5星,5823,"蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了"
影志,2005-07-22 01:36:02,,5星,9425,人戏不分，不疯魔不成活。
[己注销],2009-07-13 23:54:13,,4星,4995,被“历史”绑架了的两个小人物……《活着》和《霸王别姬》不是中国电影的起点，而是终点……
人云奕云,2012-10-02 22:34:39,,5星,5926,我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。
JulyChan,2006-12-06 19:50:43,,5星,7371,你凝视你的脸，几亿人在爱恋。
Holocence,2011-03-20 15:35:18,,5星,8086,菊仙是个好女人
Bono,2011-05-14 10:56:55,,5星,4531,城头变幻大王旗，一个《霸王别姬》，一个《活着》，道尽中国现当代史，百年内无可超越。
同志亦凡人中文站,2010-04-01 10:31:06,,5星,3142,往事不要再提，人生已多风雨。他是霸王，你是虞姬，“我本是男儿郎，又不是女娇娥”，万丈红尘蹉跌走过半世纪。寥落繁华不由己，十万春花如梦里。剑还给你，命也还给你。“君王意气尽，贱妾何聊生？”陪你唱罢这出、我便离去...
趙小漁,2008-05-04 17:07:48,,5星,4481,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……
大头绿豆,2005-09-04 11:42:23,,4星,2975,不疯魔，不成活
icancu,2007-08-23 22:16:16,,5星,3679,那些渴求永远的人，悲都悲得分外妖冶。
P,2005-11-07 13:18:35,,5星,2474,因为这个电影，从此后对有金鱼出现的影片格外地关注。鱼所代表的意义太多了。流泪在水里的鱼，无性别的鱼，离了水呼吸不了的鱼……
海神,2021-08-04 08:57:24,,5星,1034,大家只记得程蝶衣，明明菊仙才是更值得品味的角色啊，到最后，一直保留了善良的人只有她一个。生活太难，为了什么而活的内核决定了每个人的命运，再聪明的人都挨不下去，最后剩下的便都是乌合之众
豆腐脑敢死队,2008-08-24 12:49:03,,5星,2024,一笑万古春，一啼万古愁 2008.12
雨果,2016-12-04 23:37:06,,5星,1695,1993年戛纳金棕榈大奖，国际影评人大奖。华语电影唯一一枝金棕榈，陈凯歌同学笑傲多年的资本。确实是华语电影的巅峰之作，以京剧为剧情发展的主线，比《活着》更具艺术性，给人印象也更深刻，特别是张国荣的倾情演出。
心生,2012-04-26 12:54:12,,5星,1887,耗尽了陈凯歌一生的才华，成就了一个痴情的程蝶衣。
林||我们谈什么都像谈死！,2005-11-16 21:54:10,,5星,1471,重点不是时间的流逝，而是一个理想主义者的死亡。哥哥最好的电影之一，已经不能仅用一个演员来形容他。关注历史背景的戏剧性潜力，关注政治现实对个人生活的影响。
Dare to.max,2010-12-11 00:14:38,,5星,1321,翻译成再见我的妾实在是太酷儿了。。
