用户名,评论时间,IP属地,评论分数,有用数量,短评内容
拒绝彦祖500次,2025-02-10 19:53:31,江苏,1星,0,泰国恐怖片已经倒退到这种程度了吗？
布拉德很皮,2025-02-08 01:10:44,山东,3星,12,鬼：你们见过一家人整整齐齐群殴一只鬼的吗？诶，这不就见着了
毛毛毛男,2025-02-10 20:37:35,四川,1星,0,选一个放松的夜晚，把房间的灯关掉，把电脑声音开大，也抑制不住满屏幕的烂。吃过好的是真的咽不下这些屎。
小然Raner,2025-02-07 17:34:38,山东,4星,5,6.5/10比第一部强很多，只是不能算作恐怖片，更像是玄幻超英片。森林和酒店两场重头戏很有看点，保留了第一部的设定，和鬼战斗看的还挺津津有味，一家人就应该要一起战斗，看到最后妹妹笑着看向哥哥，哥哥抱着一大家子，多少有点感人。很想吐槽的是画面太黑了！太黑了！！
Tina,2025-02-10 12:13:25,浙江,2星,0,holy shit！这特么的到底是什么玩意，比1差了不是一星半点。感觉整片根本没有剧本，就是把吓人段子强行粘贴在了一起，并且还是贼拙劣的那种。结婚选暴雨天，整个酒店员工都请假，就为了营造恐怖氛围，我可去你们的吧！除了几个重口味镜头有点博眼球效果，原始森林有点蛮荒味道，其他看点基本没有。主创还不如挖掘一下黑衣女鬼的由来，可能会稍许吸引人些
女神的秋裤,2025-02-08 01:06:28,山东,3星,8,很在线的续作，难怪超越《姥姥的外孙》拿下了去年泰国年冠，同时打破了泰国影史最快票房破亿的纪录。这次是组队猎鬼，泰国赵又廷颜值高，身材好，伙伴们也智商在线，恐怖场面不及第一部但jump scare也够吓人，还略带幽默感。在恐怖片中，整体观感不错。这个鬼是真滴惨。
内陆飞鱼,2025-02-09 14:44:08,云南,3星,1,泰鬼，泰鬼的套路，太吵，有些看不进去，这个鬼也是，人间好吃好睡偏偏不在，还躲进深山老林，等人来狩猎！
tfarcevolsruoy,2025-02-07 15:16:44,重庆,3星,1,泰国家人侠！继续拉踩范迪塞尔...
mills,2025-02-09 17:12:35,辽宁,3星,0,这部咋突然变成动作片和喜剧片了，捉鬼敢死队+全家打鬼，小伙子一如既往的帅啊
felixhere,2024-10-15 18:11:34,泰国,3星,4,记录一下第一部在泰国电影院看的泰国电影，票房挺火爆，一整天的排片几乎都给了它。品质嘛就嗯嗯，节奏过于泰剧，个人觉得搞笑桥段要大于惊恐，鬼怪设置太实没有任何神秘感，基本是部动作片，不过还是有观众被jump scare弄尖叫。如果没有影院的音响效果是看不下去的，还好几个男演员全是帅哥，男主的身材也很养眼。
鸟鸟弗斯,2025-02-09 19:58:15,丹麦,未评分,0,完全不记得1了，但是这一部还不错。结尾一家人群殴一个鬼，还是蛮震撼的。
sorry打搅,2025-02-09 23:51:51,上海,2星,0,没看出来鬼生气，我倒是蛮气的
迷蟲朋克,2025-02-09 22:26:12,湖北,3星,0,看评论顿时！我的直觉果然没错，这个男主的战力比鬼还高^___^，而且是纯肉搏打鬼打僵尸，都没有什么法术，看得我连连称奇拍手惊叹，嚯！噢哟！哎嘛呀！颇有古代人看打擂台效果。吓人也不咋吓人，我都忘记第一部讲啥了，记忆点比较深的还有，鬼给寄生人嘴里塞的那个三角椭圆，长得好像刮痧板啊！有点意思。
