用户名,评论时间,IP属地,评论分数,有用数量,短评内容
舌在足矣,2024-11-22 13:28:20,美国,2星,784,一帮三十多岁的人演着Mean Girls式的高中生剧情，再加上朱浩伟一贯无聊乏味的场面调度，就这么半部电影居然还能拍两个小时四十分钟（原版音乐剧算上中场休息一共也才两个半小时），简直就如鲁迅所言“浪费他人的时间无异于谋财害命”
miaisdreaming,2024-11-27 03:48:35,英国,3星,1031,睡了两茬还没结束，旁边的白妹一度哭倒在旁边朋友的怀里，我在漆黑的影院翻了一个巨大的白眼。
了了,2024-11-25 01:25:11,马来西亚,5星,2198,评论区真的好多臭味顺直(不分男女)，不看音乐剧不理解音乐剧也不爱音乐剧，看完之后自以为是地发表自己浅薄又无知的评价，觉得自己品味爆棚了。最棒的音乐剧改编电影，朱浩伟就是当今最会拍音乐剧的男导演！
nakedgun,2024-11-20 18:40:52,澳大利亚,4星,1068,"原来奥兹国的历史是可以修改的，原来奥兹国的敌人是可以用谎言制造的，原来奥兹国的山羊豹子牛马的说话能力是可以剥夺的，原来躲在森严的金属面具背后的伟大的奥兹国魔法师是没有魔法的，不过是个糟老头子。I'm not afraid, it's the Wizard who should be afraid of ME. No Wizard that there is or was is EVER gonna Bring ME DOWN！还有，原来A妹的演技是很不错的。"
同志亦凡人中文站,2024-11-21 16:10:29,澳大利亚,4星,873,朱浩伟拯救音乐剧，姬情来得感天动地，环球这次比迪士尼还迪士尼，最燃还得是那首Defying Gravity。（所有几年前被环球歌舞片“猫”暴击眼睛和心灵的观众都该获得免费观影啊魂淡！！！！！）
乙酰胆碱,2024-11-28 05:49:45,美国,3星,600,不明白两人成为朋友的契机
BatterOnBacon,2024-11-21 14:33:13,美国,3星,588,Part1: A妹小品版mean girls院线特供Part2: White savior白女做梦意淫素材Part3: 《我爱上了霸凌我的白女的男友》（终于让gay在大制作里演直男了）Part4: 亚裔女巫导师背叛我，我要defy gravityPart5: 敬请期待第二部现在音乐剧改编电影也要拍上下部了？？？小品倒是真的挺逗的，vocals也很强，适合荧幕的导演说Ariana也试镜了好多轮，姐你巡演粉丝更开心😭
兔安叽,2024-12-06 21:22:59,北京,3星,389,朱浩伟你出来给我讲讲为什么你排个音乐剧不会在歌舞里推进情节，非要唱几句停下来，演一段再接着唱，你的电影只能单线程工作吗？画面是真好看，音乐是真好听，小品也是真好笑，但是好像去米其林餐厅给我慢吞吞上菜，菜是挺精致的，但是一顿饭吃了160分钟还没吃饱。
叶清成,2024-12-01 05:16:04,英国,3星,230,绿人哈里斯携手白人张韶涵，勇闯Harrods
倪克斯,2024-11-23 12:05:31,美国,4星,858,感叹歌舞太长剧情烂俗的，sis这是百老汇改的音乐片…（一想这是欧美文化里比较接近高语境的东西了）首映周末好多粉丝打扮去看气氛其乐融融，当贝利出现剧情没有剧情可言who cares
桃桃林林,2024-12-07 21:43:02,马来西亚,3星,166,剧情真是有点水，甚至可以说完全没有。但美术，场景，音乐各方面，还是挺舒服的，就是那种特别漂亮的无脑片，还挺适合我当下心态的（需要放空）。另外，A妹这个角色也很有趣，总觉得是个mean girl，但她又融合了疯疯癫癫，傻里傻气，可爱以及善良等各种性格元素，让这个角色变得很热闹（我觉得已经超过丰满了，是多重）
木鱼同学RYAN🌈,2024-12-07 17:32:25,上海,3星,158,那英大战王心凌
Damian达米安,2024-12-01 23:48:44,新加坡,3星,148,感觉defying gravity和what is this feeling给人的感觉很出色，然后也丰富了很多原版没有的情绪细节，但是这个故事依旧逻辑很难经得起推敲，要写政治隐喻的前提是能够写好政治逻辑，一个完全基于谎言到没有任何实际能力的国王是怎么兜售这个虚假信仰这么多年的？Elphba拿着那本书那么久都无法使用一下是因为法师读条太长吗？得亏电影版是演到高潮就停了，要是让我再在电影版里看到两女争一男我真的会气笑。
明天一定早起,2024-11-25 05:28:45,荷兰,4星,748,有些人不喜欢歌舞剧就别去看啊啊啊
QETEP,2024-11-23 08:41:13,英国,4星,416,Jonathan Bailey is like basically literally undoubtedly emm… hot as fuck
Norah.C,2024-11-21 10:23:20,美国,2星,305,唯一支撑我看完的就是我A的小品了，最后一幕彻底困了，好松散的剧情啊，竟然还有俗套的女主和王子公主的三人恋爱戏份。围绕女巫的戏份真的很莫名其妙，就是情节发展到这了，你该怎么样的感觉。而且差不多一个半小时以后才到奥兹城，What？最后女巫吼两嗓到处乱飞就告诉你Part 1结束了，等着Part 2吧， What？而且说实在的，这歌做的也无法衬托影片的情感，递进部分做的真的不行，就是等着副歌往高的宏大里做。看完只剩下我A那浑然天成的小品环节了。无解的是我旁边俩白女哭的稀里哗啦的，我寻思她们要是看我们的工业糖精，不得晕过去啊
饮歌,2024-11-22 06:42:55,加拿大,4星,286,圣诞前夕真的太需要这样子的歌舞片了，“环球”这次真的抢在“迪士尼”之前先声夺人了。服化道、布景、音乐、歌舞，以及演员的选择都是上乘水准，尽管情节上的低幼和套路在所难免，但作为歌舞片，这些恰恰是它能打动人的地方。Jonathan Bailey真的太甜了，比A妹都甜那种！
徐若风,2024-12-04 22:04:06,北京,3星,121,抛开各种槽点外，喜欢最后的暗黑大反转设计，也喜欢对“女性自主选择”的平等呈现——你可以是对抗强权、勇于反抗的，如艾芙芭；也允许是娇生惯养、矫情做作、安于规则体制的，如格琳达。无论做什么样的女性，只要自洽，都祝你幸福快乐。另，乔纳森·贝利的个人魅力实在太闪耀了。
丸尼夏谱,2024-12-08 23:00:42,江苏,4星,152,galinda倒映出怯懦的我、伪善的我、天真的我，艾芙芭投射着我渴望成为的那个，勇敢的、反叛的、真实的我。
X,2024-12-11 10:52:45,美国,3星,57,咱们就是说有没有一种可能剪出来defying gravity然后去参加短片单元的竞争，啰嗦了两个半小时就高潮了最后二十分钟，更可笑的是两个半小时还只是上半部
顗礼,2024-12-04 15:27:31,加拿大,3星,53,虽然但是，远超预期，后工业时代重新定义魔法，对科技狂人的讽刺，稍显犹疑但有价值的反人类中心主义倾向，以及最明确有效的，反抗对女性的“猎巫行动”，并呼吁少数族裔叙事，完成度在线，本身的合家欢定位，也决定了不必过于苛责基底缺乏的深刻性；对Cynthia Erivo的选择相当高明，除了她自身的硬实力撑起了角色外，戏外对她外貌与肤色的“审判”与剧情本体形成了互文，是最好的点题，双主角之间泛酷儿理论的情感连接也算行之有效，不可谓没有火花。但作为电影而非舞台剧，完全遵循原版是安全牌，却不是最优解，即便能理解160分钟的必要性却还是过长，应该删掉那些拖慢节奏的旁枝末节，更聚焦主轴而不是在第三幕后半段才进入主线，毕竟舞台剧只有短暂的中场休息，电影可是隔一年才会上映下半部，这种处理方法无疑是结构组织上的错误。
过路野猫,2024-11-21 22:37:22,澳大利亚,1星,1040,永远缅怀我在坐立不安中逝去的160分钟的生命。
broooke!,2024-11-23 13:21:35,中国香港,5星,1507,有些低分我真的看不懂……明明是充满政治隐喻和肤色讽刺的黑色童话，有些人却只看到表面喜剧的呈现方式，见不到悲剧的内核
禾果,2024-11-23 07:08:51,英国,5星,804,我只能说不懂这部电影的人永别了，可以想象到某些种男的不喜欢看🫢🫢感受到导演对ip的喜欢了🤧本来担心太长会烂，但是导演节奏把控还是很强的🤧电影主角配角都很出彩，而且很惊喜看到百老汇原版女主出来唱了一段🥹🥹乔贝你实在是太会跳舞了🥹
陀螺凡达可,2024-12-11 14:10:57,北京,3星,20,对于音乐剧改编来说已经很难得了，把两人之间的情感做得很扎实，江姐和A妹的表演也都很好，Kristin和Idina出场时我差点从座位上跳起来哈哈哈哈哈（以及全程有种强烈的同志身份认同感
甘道夫的灰袍袍,2024-12-09 01:47:56,北京,2星,168,短评区有些人在高高在上什么啊，搞得就跟谁没看过几部音乐剧似的，改编电影成功的大有人在，悲惨世界的样本就摆在前面啊。节奏不好就是不好，注水严重就是事实，还不让人说了咋的，本来想给三星气的直接改两星。故事内核好是Wicked音乐剧好，和这部电影有什么关系？整体呈现实在打动不了我，注水太太太严重，尤其影片前两个小时，除了A妹的小品其他部分真是让人如坐针毡，很多情节对人物塑造或者情节推动完全没有作用。当然歌舞的部分呈现上佳，辛西娅和A妹太棒了，贝利秀颜值的同时也贡献了超级优秀的一段歌舞，图书馆那段表演真的让人印象深刻。第一次在4D影院看电影，全程有一种环球影城小黄人园区视觉过山车的感觉，结尾部分Elphaba骑上扫帚驰骋的一段体验感拉满，很推荐感受一下这部电影的4D版。
